,RandomForest,kendall,matrix,polarity
184,0.0,0.057560077859298384,9AA,negative
191,0.0,0.08190746377900486,9AA,negative
192,0.0051789265126518155,0.11267643450450399,9AA,negative
197,0.0,0.022595726056439218,9AA,negative
202,0.0,0.016479215483257297,9AA,negative
221,0.0,0.05771445966680913,9AA,negative
222,0.001416390686690611,0.03909277277774917,9AA,negative
227,0.0001368383905716535,0.10601998402395515,9AA,negative
228,0.0,0.024800992708227217,9AA,negative
229,0.0,0.036196504709143575,9AA,negative
231,0.0035233253472101286,0.01733488670501516,9AA,negative
237,0.0,0.0063740869109929765,9AA,negative
245,0.0,0.05052236008464069,9AA,negative
252,0.0,0.03324405695757462,9AA,negative
255,0.0,0.05771445966680913,9AA,negative
259,0.0,0.05771445966680913,9AA,negative
264,0.0,0.0063740869109929765,9AA,negative
269,0.0,0.0063740869109929765,9AA,negative
275,0.0,0.02595991760113503,9AA,negative
283,0.0,0.04726310057508387,9AA,negative
294,0.0008973542571048135,0.07284332708188586,9AA,negative
297,0.0,0.05771445966680913,9AA,negative
299,0.0020130518776426995,0.008200786509822639,9AA,negative
301,0.0,0.023629948415626566,9AA,negative
303,0.0,0.01819512081865268,9AA,negative
305,0.0,0.014022991204184548,9AA,negative
309,0.0,0.07874857815201483,9AA,negative
314,0.0,0.06218715015488356,9AA,negative
319,0.01783185507402636,0.08011433305093565,9AA,negative
321,0.0,0.015624917789167593,9AA,negative
322,0.0,0.024685100218936436,9AA,negative
323,0.01319031988894744,0.09487587214382379,9AA,negative
325,0.0,0.0015595094986509417,9AA,negative
334,0.0,0.004687475336750279,9AA,negative
336,0.0025274372946643246,0.05771445966680913,9AA,negative
350,0.0018565569211712156,0.026055859681401918,9AA,negative
352,0.0,0.03324405695757462,9AA,negative
361,0.0,0.03324405695757462,9AA,negative
362,0.0,0.006292806808797098,9AA,negative
370,0.0,0.06238037994603766,9AA,negative
371,0.0,0.01644728188333431,9AA,negative
378,0.0040029356708963125,0.01945129015576081,9AA,negative
387,0.0,0.052297501245925394,9AA,negative
389,0.0013571072769507247,0.0018187921657858849,9AA,negative
392,0.0,0.01749622366126435,9AA,negative
394,0.0,0.014486561161347672,9AA,negative
395,0.0,0.04706883214110114,9AA,negative
396,0.0,0.03324405695757462,9AA,negative
398,0.0,0.03324405695757462,9AA,negative
401,0.0,0.08655589650354578,9AA,negative
414,0.02369184852873332,0.08011433305093565,9AA,negative
423,0.0,0.0014802553695000878,9AA,negative
431,0.0,0.03324405695757462,9AA,negative
432,0.0,0.05771445966680913,9AA,negative
444,0.0,0.05771445966680913,9AA,negative
446,0.0,0.03137769753411352,9AA,negative
455,0.0,0.04706883214110114,9AA,negative
456,0.0,0.007065383802085081,9AA,negative
457,7.98286101330041e-17,0.02514867017609956,9AA,negative
463,0.003415657171696214,0.09094959139489374,9AA,negative
470,0.0,0.024341977187334777,9AA,negative
473,5.491503707608515e-17,0.04703363548038991,9AA,negative
478,0.0,0.04706883214110114,9AA,negative
479,0.0,0.03324405695757462,9AA,negative
481,0.0,0.035772838096252126,9AA,negative
482,3.6359825999412894e-07,0.047534782762867316,9AA,negative
486,0.004847906524855069,0.08896552175114514,9AA,negative
487,0.0,0.037599955011543805,9AA,negative
489,0.0,0.03820843185983814,9AA,negative
490,0.0,0.0008112474250354697,9AA,negative
498,0.0,0.057560077859298384,9AA,negative
504,0.0,0.01493666748965932,9AA,negative
519,0.0,0.023660023275274108,9AA,negative
528,0.0,0.006414439934500381,9AA,negative
533,0.0,0.00017995984927300385,9AA,negative
563,0.010025426814409984,0.008200786509822639,9AA,negative
573,0.0,0.0424698003013692,9AA,negative
576,0.00684582684106628,0.06545939772825837,9AA,negative
577,3.05322207753231e-05,0.042293460367966995,9AA,negative
590,0.0,0.021632021280250612,9AA,negative
592,0.0,0.03463508400704931,9AA,negative
598,0.0,0.01493666748965932,9AA,negative
599,0.0,0.04706883214110114,9AA,negative
600,2.382064141130002e-18,0.0026993977390950582,9AA,negative
606,0.0,0.0035443397696612307,9AA,negative
610,0.0,0.07831640351547207,9AA,negative
622,0.0026801903432130485,0.03796036874510333,9AA,negative
623,0.0,0.01722498302984685,9AA,negative
628,0.029147493355112214,0.08011433305093565,9AA,negative
636,0.0,0.04706883214110114,9AA,negative
640,0.0,0.04706883214110114,9AA,negative
643,0.0014876113959584752,0.06678625900524475,9AA,negative
650,0.030246270656017888,0.103938377437306,9AA,negative
652,0.0,0.03398001730382035,9AA,negative
656,0.0,0.06208398621003672,9AA,negative
663,0.0,0.024800992708227217,9AA,negative
667,0.0,0.004549932979057706,9AA,negative
675,0.0,0.06672072610294419,9AA,negative
679,0.0,0.057560077859298384,9AA,negative
694,0.0,0.06253225124056153,9AA,negative
695,0.0,0.08928795339828018,9AA,negative
697,0.0,0.07216765558667278,9AA,negative
713,0.0,0.053583244361729114,9AA,negative
715,0.010658016278178967,0.058870985264580025,9AA,negative
724,0.00043220860284754695,0.03157878121600187,9AA,negative
727,0.0,0.010314431546879542,9AA,negative
736,0.003236429869944044,0.005110919504259999,9AA,negative
739,0.0013540060662783238,0.014896404531509673,9AA,negative
745,0.0,0.05700638340459866,9AA,negative
750,0.013911344441226946,0.09648565800816859,9AA,negative
755,0.0,0.005592075840333666,9AA,negative
758,0.0012413776597366497,0.04174011353847186,9AA,negative
760,0.0,0.018132194107500776,9AA,negative
766,0.0,0.04706883214110114,9AA,negative
781,0.0,0.007069441846737665,9AA,negative
785,0.0,0.06639253248390561,9AA,negative
786,3.637585434270767e-17,0.012958358808569409,9AA,negative
794,0.005789895136493184,0.07762903581772072,9AA,negative
795,0.0,0.03324405695757462,9AA,negative
802,0.0,0.09487587214382379,9AA,negative
806,0.0,0.014638025928422426,9AA,negative
807,0.0,0.006451157346681933,9AA,negative
810,0.0,0.05771445966680913,9AA,negative
823,0.0,0.07569206057005542,9AA,negative
829,0.0,0.08880643948159249,9AA,negative
832,0.0,0.0317545420656741,9AA,negative
835,0.0,0.013486771144334133,9AA,negative
837,0.0,0.03824452146595785,9AA,negative
841,0.0,0.024685100218936436,9AA,negative
849,0.0,0.04354570950425449,9AA,negative
854,0.0,0.006414439934500381,9AA,negative
875,0.0,0.03286174611553406,9AA,negative
881,0.0,0.004687475336750279,9AA,negative
887,0.0,0.0028973122322695347,9AA,negative
888,0.0011599606848138352,0.10992073639210172,9AA,negative
890,0.0,0.04706883214110114,9AA,negative
892,0.001638403084661414,0.03330574581375197,9AA,negative
898,0.0,0.03324405695757462,9AA,negative
900,0.0,0.009387291632553293,9AA,negative
910,0.0,0.035847507201240095,9AA,negative
913,0.005218663645471204,0.05239706771855083,9AA,negative
926,0.0,0.04513940367364782,9AA,negative
932,0.0018148047217127726,0.0397251251326024,9AA,negative
935,0.00026407847553165876,0.062197796215819584,9AA,negative
953,0.003778099640433039,0.015624917789167593,9AA,negative
960,0.0,0.05496421261793745,9AA,negative
966,0.0,0.002410151043369637,9AA,negative
971,0.0,0.004288022103758912,9AA,negative
976,0.0,0.028775844727606147,9AA,negative
980,0.0092248934216181,0.06918454017350238,9AA,negative
981,0.0,0.040753367915308904,9AA,negative
998,0.0,0.03324405695757462,9AA,negative
1003,0.0,0.07108952067594751,9AA,negative
1004,0.0,0.05771445966680913,9AA,negative
1017,0.0,0.041028496137521964,9AA,negative
1019,0.0,0.06165019784376639,9AA,negative
1022,0.0,0.007069441846737665,9AA,negative
1024,0.0,0.00213814664483346,9AA,negative
1027,0.0,0.04706883214110114,9AA,negative
1028,0.0,0.06788864801666629,9AA,negative
1035,0.0,0.07468333744829661,9AA,negative
1041,0.0,0.00915550665397173,9AA,negative
1057,0.0,0.007339997073294708,9AA,negative
1060,0.0,0.02916735364450508,9AA,negative
1061,0.0,0.009231530173085128,9AA,negative
1065,0.0,0.009619076611134855,9AA,negative
1070,0.0,0.04400018314724945,9AA,negative
1088,0.0,0.04857166901757214,9AA,negative
1093,0.0,0.01463532288967839,9AA,negative
1097,0.0,0.09688493293335336,9AA,negative
1101,0.0,0.015816946269913867,9AA,negative
1104,0.0,0.006308297315248184,9AA,negative
1114,0.0,0.06680904536498461,9AA,negative
1120,0.0,0.03889782165408564,9AA,negative
1126,0.0,0.06672072610294419,9AA,negative
1128,0.0,0.0063740869109929765,9AA,negative
1134,0.0,0.00915550665397173,9AA,negative
1136,0.0,0.061730257183805086,9AA,negative
1137,0.0,0.007301226825319227,9AA,negative
1144,0.0,0.05771445966680913,9AA,negative
1145,0.0,0.024729719514760884,9AA,negative
1152,0.0020913085085237084,0.045224310129540764,9AA,negative
1154,0.0,0.005592075840333666,9AA,negative
1162,0.0,0.06645933506883689,9AA,negative
1163,0.0,0.004687475336750279,9AA,negative
1168,0.0031296752642680963,0.04975302769708629,9AA,negative
1171,0.009618070515559162,0.05288311721158342,9AA,negative
1176,0.0007235939122574244,0.042293460367966995,9AA,negative
1182,0.001719767201210949,0.04614827947145928,9AA,negative
1190,0.000565766474242544,0.004687475336750279,9AA,negative
1226,7.670277308397924e-05,0.06963334125134185,9AA,negative
1228,0.0007904180710802601,0.08500863596851022,9AA,negative
1236,0.0,0.04706883214110114,9AA,negative
1243,0.0,0.05103805020809129,9AA,negative
1251,0.0,0.03163117979087321,9AA,negative
1257,0.0027026479407889856,0.07735961869031087,9AA,negative
1274,0.0,0.06645933506883689,9AA,negative
1282,0.0,0.03324405695757462,9AA,negative
1290,0.0,0.013716846105495187,9AA,negative
1292,0.0,0.01886736093769223,9AA,negative
1294,0.0,0.03324405695757462,9AA,negative
1302,4.7399643922368664e-05,0.0893098048146896,9AA,negative
1308,0.0,0.03453596180865286,9AA,negative
1319,0.0,0.05771445966680913,9AA,negative
1323,0.0,0.07919102280190068,9AA,negative
1325,0.0,0.04204577726777057,9AA,negative
1328,0.0,0.05771445966680913,9AA,negative
1349,0.0,0.044081261611469205,9AA,negative
1356,0.0006942635051557264,0.08655589650354578,9AA,negative
1357,0.0,0.022251688556507793,9AA,negative
1362,0.0,0.0035443397696612307,9AA,negative
1365,0.0,0.0035443397696612307,9AA,negative
1366,0.0,0.024384559576492024,9AA,negative
1375,0.0,0.035937310915085466,9AA,negative
1380,0.0,0.001170360530099567,9AA,negative
1381,0.0,0.07415646967465785,9AA,negative
1385,0.03791648991858894,0.1319545035814204,9AA,negative
1386,0.003014399237948901,0.03417610210297895,9AA,negative
1389,0.0,0.004288022103758912,9AA,negative
1391,0.0,0.08146225475228408,9AA,negative
1399,0.0003692971768527541,0.0893098048146896,9AA,negative
1411,0.001980016664088667,0.0376921200344898,9AA,negative
1413,0.0008284258079639751,0.017499765882907987,9AA,negative
1416,0.0,0.08190746377900486,9AA,negative
1430,0.0,0.0035443397696612307,9AA,negative
1431,0.0,0.05531938775314089,9AA,negative
1432,0.0,0.031043073999593166,9AA,negative
1440,0.0,0.0031249835578335185,9AA,negative
1451,0.0014005832628401565,0.014144662419667506,9AA,negative
1452,0.0,0.03419587279775098,9AA,negative
1454,0.0,,9AA,negative
1457,1.72019916464335e-17,0.011545627367685387,9AA,negative
1459,0.0,0.001745553602033871,9AA,negative
1476,0.0012332574431563005,0.022272429003186548,9AA,negative
1477,0.0,0.039531996508888625,9AA,negative
1487,0.0029037990058616648,0.08789452052682688,9AA,negative
1506,0.0,0.03662202661588692,9AA,negative
1507,0.0,0.0066611491627503955,9AA,negative
1508,0.0,0.05771445966680913,9AA,negative
1511,0.0,,9AA,negative
1516,0.00025742748167856543,0.049132740335142845,9AA,negative
1526,0.0,0.02771366997341831,9AA,negative
1528,0.00025339359737336874,0.07108952067594751,9AA,negative
1530,0.0005554616905420666,0.04114227337060313,9AA,negative
1535,0.0,0.04996958118963195,9AA,negative
1536,0.0,0.024685100218936436,9AA,negative
1550,0.0,0.04706883214110114,9AA,negative
1564,0.0,0.06676064002263252,9AA,negative
1567,0.0,0.05771445966680913,9AA,negative
1575,0.0,0.022450539770751333,9AA,negative
1576,0.0,0.05771445966680913,9AA,negative
1582,0.0018978895306872752,0.04706883214110114,9AA,negative
1602,0.0,0.01864632482825505,9AA,negative
1603,0.0,0.025965464987755014,9AA,negative
1604,0.0,0.05771445966680913,9AA,negative
1607,0.0,0.020551946735700464,9AA,negative
1614,0.0,0.052297501245925394,9AA,negative
1624,0.0014884598206462835,0.10679599362382451,9AA,negative
1652,0.0,0.06238037994603766,9AA,negative
1664,0.0,0.003069623411899738,9AA,negative
1685,0.0,0.007764796782482353,9AA,negative
1691,0.0,0.009387291632553293,9AA,negative
1693,0.0,0.015938664439249055,9AA,negative
1696,0.0011832451056080823,0.0397251251326024,9AA,negative
1711,0.0,0.0106907332241673,9AA,negative
1714,0.0,0.019493706120438513,9AA,negative
1715,0.0,0.04706883214110114,9AA,negative
1716,0.005420664784942447,0.10494514346149507,9AA,negative
1722,0.00039085419865255995,0.016846572027327634,9AA,negative
1724,0.0,0.020562875401477852,9AA,negative
1725,0.0,0.03324405695757462,9AA,negative
1727,0.0,0.05771445966680913,9AA,negative
1732,0.0,0.0607452653507787,9AA,negative
1733,0.0,0.05771445966680913,9AA,negative
1734,0.0,0.03324405695757462,9AA,negative
1737,0.0,0.03925623834957199,9AA,negative
1738,0.0,0.09480139281401981,9AA,negative
1742,0.0,0.05771445966680913,9AA,negative
1745,0.0,0.0729955272758839,9AA,negative
1750,0.0,0.0653790172524988,9AA,negative
1754,0.0,0.0036480702677633143,9AA,negative
1773,0.0,0.010314431546879542,9AA,negative
1781,0.0,0.01493666748965932,9AA,negative
1819,0.009246416549363264,0.06333634570583478,9AA,negative
1828,0.0,0.03324405695757462,9AA,negative
1831,0.0,0.057560077859298384,9AA,negative
1832,0.0036703044142281185,0.00017995984927300385,9AA,negative
1835,0.0003738511594427776,0.04706883214110114,9AA,negative
1838,0.011974993995538849,0.11838210085272041,9AA,negative
1840,0.0,0.031674136582278065,9AA,negative
1844,0.0001712739406097126,0.017341598027099798,9AA,negative
1847,0.0,0.0559282484938734,9AA,negative
1849,0.0,0.01546870255458505,9AA,negative
1855,0.009643390742505507,0.02395612556267882,9AA,negative
1866,0.0,0.07424740637336018,9AA,negative
1873,0.003156602148335811,0.008203746809469498,9AA,negative
1879,0.0005931958536721839,0.012484592604739135,9AA,negative
1884,0.0,0.01493666748965932,9AA,negative
1887,0.0034857803417908035,0.038781347518332336,9AA,negative
1898,0.0,0.016200572655084296,9AA,negative
1904,0.0,0.05771445966680913,9AA,negative
1908,0.0,0.009231530173085128,9AA,negative
1911,0.0033663422359482852,0.021452794564066197,9AA,negative
1917,0.0,0.005318612777684937,9AA,negative
1921,0.0014654357004131725,0.07146526147556394,9AA,negative
1922,0.004410232584084502,0.09487587214382379,9AA,negative
1923,0.0,0.05337142971141983,9AA,negative
1932,0.0077849815965722715,0.08706067672364916,9AA,negative
1942,0.0,0.014486561161347672,9AA,negative
1944,0.0,0.034999531765815974,9AA,negative
1946,0.0,0.009387291632553293,9AA,negative
1949,0.0,0.05771445966680913,9AA,negative
1950,0.001692774898610533,0.06122882029699301,9AA,negative
1963,0.0,0.07108952067594751,9AA,negative
1974,0.0,0.01889080799300227,9AA,negative
1977,0.0,0.007301226825319227,9AA,negative
1991,0.0,0.03018535345996168,9AA,negative
1992,0.0,0.00014177359078644923,9AA,negative
1995,0.0,0.0035443397696612307,9AA,negative
2001,0.0,0.03870809142312098,9AA,negative
2004,0.001609385089382941,0.049655436842006254,9AA,negative
2018,0.0,0.0005794624464539069,9AA,negative
2034,0.0,0.03824452146595785,9AA,negative
2038,0.0017811507998120278,0.0026453098715451782,9AA,negative
2044,0.0,0.057560077859298384,9AA,negative
adduct_+Cl,0.0,,9AA,positive
adduct_+H,0.06868346186279255,0.052286729135258406,9AA,positive
adduct_+K,0.029660875056493785,0.07023287412227602,9AA,positive
adduct_+Na,0.16226213071120127,0.309737934648441,9AA,positive
adduct_-H,0.0,,9AA,positive
adduct_[M]+,0.04256994570766354,0.19869230238723953,9AA,positive
adduct_[M]-,0.0,,9AA,positive
1,0.022461397371139676,0.18081455199731256,9AA,positive
8,0.0,0.02652642207317931,9AA,positive
13,0.0017621561494332557,0.23801337743988787,9AA,positive
26,0.0,0.013692386356404145,9AA,positive
27,0.0,0.04264498956803734,9AA,positive
31,0.0,0.03717763616830918,9AA,positive
35,0.0,0.03689462009591344,9AA,positive
41,0.0,0.09136805470279935,9AA,positive
45,0.00012600008574290602,0.09650223627945727,9AA,positive
62,0.0,0.12051390434300749,9AA,positive
67,0.005861495543101721,0.015364738888484043,9AA,positive
69,8.691493044648198e-06,0.17407142737385106,9AA,positive
79,0.0,0.027985256660616787,9AA,positive
80,0.0,0.12389535326483116,9AA,positive
81,0.0,0.0917627161241527,9AA,positive
89,0.0,,9AA,positive
92,0.0,0.011454212121280316,9AA,positive
106,0.0,0.052679104760516716,9AA,positive
114,0.0,0.06488939089438517,9AA,positive
115,0.0,0.001985918631844876,9AA,positive
116,0.0,0.007696872703224137,9AA,positive
117,0.005086295658941478,0.19618013304962298,9AA,positive
118,0.0003880165407941084,0.169893608934503,9AA,positive
119,0.0,0.051979407108174475,9AA,positive
125,0.0,0.17407142737385106,9AA,positive
134,0.0005878737854942221,0.12428768970060636,9AA,positive
140,0.0,0.028757130724783433,9AA,positive
141,0.0,0.000842232176984384,9AA,positive
142,0.0,0.014110474489424119,9AA,positive
143,0.0,0.05233442719890389,9AA,positive
147,0.006878278435498663,0.0955907583479737,9AA,positive
179,0.00390632761929467,0.013692386356404145,9AA,positive
183,0.0,,9AA,positive
184,0.0,0.03689462009591344,9AA,positive
191,0.008148351867284222,0.14859430637000276,9AA,positive
192,0.0005506985194035799,0.10052746258053481,9AA,positive
197,0.0,0.0469976255819511,9AA,positive
202,0.0,0.0007316542327849544,9AA,positive
221,0.0,0.05351528102655666,9AA,positive
222,0.0039620355242999524,0.007830006250342641,9AA,positive
227,0.0050548652614566675,0.09129750670863983,9AA,positive
228,0.0,,9AA,positive
229,0.0,0.03576194133733718,9AA,positive
231,0.0,0.03838440413036453,9AA,positive
237,0.0,0.01314220127599531,9AA,positive
245,0.0,0.00788243973263793,9AA,positive
252,0.0,0.021258559123497313,9AA,positive
255,0.0,0.06626696908366586,9AA,positive
259,0.0,0.030094191754531152,9AA,positive
264,0.0,0.01314220127599531,9AA,positive
269,0.0,0.01314220127599531,9AA,positive
275,0.0,0.04264498956803734,9AA,positive
283,0.0,0.06115050600909032,9AA,positive
294,0.00011244778953391254,0.1790331372203196,9AA,positive
297,0.0011207311043079696,0.14962818150009338,9AA,positive
299,3.449585747092548e-05,0.2773343686384044,9AA,positive
301,0.0,0.03504939939302135,9AA,positive
303,0.0,0.010347681292244355,9AA,positive
305,0.0,0.04264498956803734,9AA,positive
309,0.0,0.01833925476664249,9AA,positive
314,0.015698647740465303,0.030068463712932283,9AA,positive
319,0.12958056348116692,0.3745264918016713,9AA,positive
321,0.0,0.007097642904426508,9AA,positive
322,0.0,0.030094191754531152,9AA,positive
323,0.0,0.09650223627945727,9AA,positive
325,0.0,0.03689462009591344,9AA,positive
334,3.0929953516335286e-06,0.010347681292244355,9AA,positive
336,0.0,0.05351528102655666,9AA,positive
350,0.0,0.014539304159249119,9AA,positive
352,0.0,,9AA,positive
361,0.0,0.021258559123497313,9AA,positive
362,0.0,0.03279941365258735,9AA,positive
370,0.0,0.014110474489424119,9AA,positive
371,0.0,0.026491848612927287,9AA,positive
378,0.005142683879380469,0.10728513392643606,9AA,positive
387,0.0,0.023523574258537672,9AA,positive
389,0.0,0.1711455897719802,9AA,positive
392,0.0,0.05829884762868985,9AA,positive
394,0.0,0.04264498956803734,9AA,positive
395,0.0,0.03689462009591344,9AA,positive
396,0.0,0.04264498956803734,9AA,positive
398,0.0,0.03689462009591344,9AA,positive
401,0.00027786817928381904,0.12704668461171723,9AA,positive
414,0.08938082841601777,0.3745264918016713,9AA,positive
423,0.0,0.01684621267677135,9AA,positive
431,0.0,0.03689462009591344,9AA,positive
432,0.0008161690061190855,0.030094191754531152,9AA,positive
444,0.0,0.05351528102655666,9AA,positive
446,0.0,0.0917627161241527,9AA,positive
455,0.0,,9AA,positive
456,0.0,0.08633652109842349,9AA,positive
457,0.0,0.12114103654253744,9AA,positive
463,0.006844873693985799,0.03885031014119113,9AA,positive
470,0.001942036043025249,0.10413488990409794,9AA,positive
473,0.015160877528029856,0.02281366821234608,9AA,positive
478,0.0,0.03689462009591344,9AA,positive
479,0.0,,9AA,positive
481,0.0,0.05233442719890389,9AA,positive
482,0.002025830338416499,0.02482373432629407,9AA,positive
486,0.0007705455557037136,0.13151753412497078,9AA,positive
487,0.0,0.06429104475912871,9AA,positive
489,0.0,0.003903636818852405,9AA,positive
490,0.0,0.03689462009591344,9AA,positive
498,0.0,0.03689462009591344,9AA,positive
504,0.0,0.014978306082096278,9AA,positive
519,0.0,0.01095056074192612,9AA,positive
528,0.0,0.000842232176984384,9AA,positive
533,0.0,0.04264498956803734,9AA,positive
563,0.0,0.2773343686384044,9AA,positive
573,0.0,0.051343227121211726,9AA,positive
576,0.0,0.034650354997654884,9AA,positive
577,0.0,0.004829240230178023,9AA,positive
590,0.0,0.024155851808654396,9AA,positive
592,0.0011284127231029593,0.06055279682954809,9AA,positive
598,0.0,0.014978306082096278,9AA,positive
599,0.0,0.021258559123497313,9AA,positive
600,0.0,0.007123858450535069,9AA,positive
606,0.0,0.04264498956803734,9AA,positive
610,0.0,0.017413433419713128,9AA,positive
622,0.0,0.014978306082096278,9AA,positive
623,0.005743557618113944,0.09485378819207924,9AA,positive
628,0.04130095996295605,0.3745264918016713,9AA,positive
636,0.0,0.04264498956803734,9AA,positive
640,0.0015269997530857234,0.012856210090364199,9AA,positive
643,0.0,0.09112009797865127,9AA,positive
650,0.0,0.03588788096354203,9AA,positive
652,0.0,0.03943888774205249,9AA,positive
656,0.0,0.015840302678229314,9AA,positive
663,0.0,,9AA,positive
667,0.007205728273033531,0.01942400963900352,9AA,positive
675,0.0,0.013868801927866924,9AA,positive
679,0.0,0.03689462009591344,9AA,positive
694,0.004575736967694611,0.08472722228326453,9AA,positive
695,9.16999056026868e-05,0.16403892553494276,9AA,positive
697,0.0,0.12428768970060636,9AA,positive
713,0.010895641102083993,0.02632968059008144,9AA,positive
715,0.060076403090455775,0.32270575450781114,9AA,positive
724,0.0,0.0872672660190546,9AA,positive
727,0.0,0.04264498956803734,9AA,positive
736,0.0018052410359421552,0.1527849804300007,9AA,positive
739,0.0034383174011931457,0.10227934268894692,9AA,positive
745,0.0,0.06783754721229938,9AA,positive
750,0.0,0.001001753303567719,9AA,positive
755,0.0,0.06055279682954809,9AA,positive
758,0.0,0.06783754721229938,9AA,positive
760,0.0,0.000842232176984384,9AA,positive
766,0.0,0.012856210090364199,9AA,positive
781,0.0,0.03689462009591344,9AA,positive
785,0.0,0.21483127012352626,9AA,positive
786,0.0,0.014925674898513704,9AA,positive
794,0.00045252680575538675,0.16062351616932713,9AA,positive
795,0.0,0.021258559123497313,9AA,positive
802,0.0,0.09650223627945727,9AA,positive
806,0.0,0.053696439738469284,9AA,positive
807,0.0,0.01637829832696667,9AA,positive
810,0.0015926583215103251,0.05351528102655666,9AA,positive
823,0.0,0.016325508949142867,9AA,positive
829,0.0,0.0758630513621215,9AA,positive
832,0.0,0.013551800740944253,9AA,positive
835,0.0,0.012912579259860274,9AA,positive
837,0.0,0.011454212121280316,9AA,positive
841,0.0,0.030094191754531152,9AA,positive
849,0.0048548655187700485,0.030154299648346438,9AA,positive
854,0.0,0.000842232176984384,9AA,positive
875,0.0,0.040101234871556105,9AA,positive
881,0.0,0.010347681292244355,9AA,positive
887,0.0,0.03689462009591344,9AA,positive
888,0.0,0.05136082956967434,9AA,positive
890,0.0,0.03689462009591344,9AA,positive
892,0.002890048086084409,0.025043093766891133,9AA,positive
898,1.5882622700792768e-06,0.1010382079750832,9AA,positive
900,0.0,0.07475380542309258,9AA,positive
910,0.0,0.0028220948978848236,9AA,positive
913,0.01350942169511954,0.29734309536924164,9AA,positive
926,0.0,0.0018160456978203827,9AA,positive
932,0.0,0.0008535646480707959,9AA,positive
935,0.003595222604306238,0.06869006131940995,9AA,positive
953,0.0047350481424820534,0.004874284886172421,9AA,positive
960,0.0,0.0014037202949739734,9AA,positive
966,0.0,0.0032401830309047976,9AA,positive
971,0.0,0.03689462009591344,9AA,positive
976,4.788608805716092e-05,0.050610720289352894,9AA,positive
980,1.032045187730583e-17,0.04077037405453792,9AA,positive
981,4.636044712102015e-05,0.03149947795000879,9AA,positive
998,0.0,0.03689462009591344,9AA,positive
1003,0.0,0.03732802489827408,9AA,positive
1004,0.007355691948561133,0.0608318233544062,9AA,positive
1017,0.0,0.02238591185263682,9AA,positive
1019,0.0,0.0384791328996117,9AA,positive
1022,0.0,0.03689462009591344,9AA,positive
1024,0.0,0.10734412815287829,9AA,positive
1027,0.0,,9AA,positive
1028,0.0,0.06429104475912871,9AA,positive
1035,0.0,0.07408924273970738,9AA,positive
1041,0.0,0.030094191754531152,9AA,positive
1057,0.006061745015653503,0.18112423277906609,9AA,positive
1060,0.0,0.06130104294966796,9AA,positive
1061,0.0,0.03731065096676467,9AA,positive
1065,0.0,0.04264498956803734,9AA,positive
1070,0.0,0.05658471186569705,9AA,positive
1088,0.0,0.058010441041571395,9AA,positive
1093,0.0,0.10734412815287829,9AA,positive
1097,0.0,0.04438501299116256,9AA,positive
1101,0.0,0.0075063745106332585,9AA,positive
1104,0.0026990998585542524,0.06863164728255601,9AA,positive
1114,9.326852878930284e-06,0.0011008020265064712,9AA,positive
1120,0.0,0.04772649002911509,9AA,positive
1126,0.0,0.013868801927866924,9AA,positive
1128,0.0,0.01314220127599531,9AA,positive
1134,0.0,0.030094191754531152,9AA,positive
1136,0.0,0.0398496258591183,9AA,positive
1137,0.0,0.030094191754531152,9AA,positive
1144,0.0009634486085859938,0.05351528102655666,9AA,positive
