,observed_value,prediction,classifier,name_short,matrix,polarity,fold,iter_index
55,True,False,MLP,Glucosyl cholesterol,9AA,negative,3,0
56,True,False,MLP,Glutamic acid,9AA,negative,3,0
57,True,False,MLP,Glutamine,9AA,negative,3,0
58,True,False,MLP,Glutathione,9AA,negative,3,0
59,True,False,MLP,Glycerol 3-phosphate,9AA,negative,3,0
60,True,False,MLP,Glycine,9AA,negative,3,0
61,True,True,MLP,Guanine,9AA,negative,3,0
62,True,True,MLP,Histamine,9AA,negative,3,0
63,False,False,MLP,Cytidine monophosphate,9AA,negative,3,0
64,False,False,MLP,Dihydroxyacetone,9AA,negative,3,0
65,False,False,MLP,Estradiol,9AA,negative,3,0
66,False,True,MLP,Folic acid,9AA,negative,3,0
67,True,True,MLP,Histidine,9AA,negative,4,0
68,True,True,MLP,Hypoxanthine,9AA,negative,4,0
69,True,False,MLP,Kynurenic acid,9AA,negative,4,0
70,True,False,MLP,Kynurenine,9AA,negative,4,0
71,True,True,MLP,L-Dopa,9AA,negative,4,0
72,True,True,MLP,Lyso PA 18:1,9AA,negative,4,0
73,True,True,MLP,Lyso PC 15:0,9AA,negative,4,0
74,True,True,MLP,Lyso PE 18:0,9AA,negative,4,0
75,True,True,MLP,Lyso PG 16:0,9AA,negative,4,0
76,True,True,MLP,Lyso PI 17:1,9AA,negative,4,0
77,True,False,MLP,Lyso PS 17:1,9AA,negative,4,0
78,True,False,MLP,Malic acid,9AA,negative,4,0
79,False,True,MLP,Fumaric acid,9AA,negative,4,0
80,False,False,MLP,Glucosamine,9AA,negative,4,0
81,False,False,MLP,Glycerophosphocholine,9AA,negative,4,0
82,False,False,MLP,Homocysteine,9AA,negative,4,0
83,True,True,MLP,Malonic acid,9AA,negative,5,0
84,True,False,MLP,Melatonin,9AA,negative,5,0
85,True,False,MLP,Methionine,9AA,negative,5,0
86,True,False,MLP,Mevalonic acid,9AA,negative,5,0
87,True,False,MLP,Myo-inositol 1-phosphate,9AA,negative,5,0
88,True,False,MLP,N-Acetylaspartic acid,9AA,negative,5,0
89,True,False,MLP,N-Acetylaspartylglutamic acid,9AA,negative,5,0
90,True,True,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,5,0
91,True,True,MLP,N-Acetylglucosamine,9AA,negative,5,0
92,True,True,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,5,0
93,True,True,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5,0
94,True,False,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5,0
95,False,True,MLP,Lactic acid,9AA,negative,5,0
96,False,True,MLP,MG 18:1,9AA,negative,5,0
97,False,False,MLP,Niacinamide,9AA,negative,5,0
98,False,False,MLP,Nicotinamide riboside,9AA,negative,5,0
99,True,True,MLP,Ornithine,9AA,negative,6,0
100,True,True,MLP,Orotic acid,9AA,negative,6,0
101,True,True,MLP,Oxidized glutathione,9AA,negative,6,0
102,True,True,MLP,PA 16:0-18:1,9AA,negative,6,0
103,True,True,MLP,PC (O) C16-18:1,9AA,negative,6,0
104,True,True,MLP,PC 15:0-18:1,9AA,negative,6,0
105,True,False,MLP,PE 18:0-20:4,9AA,negative,6,0
106,True,False,MLP,PG 16:0-18:1,9AA,negative,6,0
107,True,True,MLP,PI 16:0-18:1,9AA,negative,6,0
108,True,True,MLP,PI(5)P 18:1,9AA,negative,6,0
109,True,True,MLP,PS (POPS) 16:0-18:1,9AA,negative,6,0
110,True,False,MLP,Palmitoyl-CoA,9AA,negative,6,0
111,False,True,MLP,Nicotinamide ribotide,9AA,negative,6,0
112,False,False,MLP,Nicotinic acid,9AA,negative,6,0
113,False,True,MLP,Oxalacetic acid,9AA,negative,6,0
114,False,False,MLP,Palmitic acid,9AA,negative,6,0
115,True,True,MLP,Pantetheine,9AA,negative,7,0
116,True,True,MLP,Pantothenic acid,9AA,negative,7,0
117,True,False,MLP,Phenylalanine,9AA,negative,7,0
118,True,False,MLP,Phosphocreatine,9AA,negative,7,0
119,True,True,MLP,Phosphoenolpyruvic acid,9AA,negative,7,0
120,True,False,MLP,Proline,9AA,negative,7,0
121,True,False,MLP,Prostaglandin E1,9AA,negative,7,0
122,True,True,MLP,Pyridoxine,9AA,negative,7,0
123,True,True,MLP,Quinolinic acid,9AA,negative,7,0
124,True,False,MLP,Riboflavin,9AA,negative,7,0
125,True,False,MLP,Ribulose,9AA,negative,7,0
126,True,False,MLP,Ribulose 5-phosphate,9AA,negative,7,0
127,False,True,MLP,Phylloquinone,9AA,negative,7,0
128,False,True,MLP,Propionylcarnitine,9AA,negative,7,0
129,False,False,MLP,Putrescine,9AA,negative,7,0
130,False,True,MLP,Pyruvic acid,9AA,negative,7,0
131,True,True,MLP,S-Adenosylhomocysteine,9AA,negative,8,0
132,True,False,MLP,SM d18:1-16:0,9AA,negative,8,0
133,True,True,MLP,Serine,9AA,negative,8,0
134,True,False,MLP,Succinic acid,9AA,negative,8,0
135,True,False,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8,0
136,True,True,MLP,Taurine,9AA,negative,8,0
137,True,False,MLP,Taurocholic acid,9AA,negative,8,0
138,True,True,MLP,Thymine,9AA,negative,8,0
139,True,True,MLP,Tryptophan,9AA,negative,8,0
140,True,False,MLP,Tyrosine,9AA,negative,8,0
141,True,False,MLP,Uracil,9AA,negative,8,0
142,True,True,MLP,Ureidosuccinic acid,9AA,negative,8,0
143,False,False,MLP,Retinoic acid,9AA,negative,8,0
144,False,True,MLP,S-Adenosylmethionine,9AA,negative,8,0
145,False,False,MLP,Serotonin,9AA,negative,8,0
146,False,False,MLP,Spermidine,9AA,negative,8,0
147,True,True,MLP,Uric acid,9AA,negative,9,0
148,True,False,MLP,Uridine,9AA,negative,9,0
149,True,True,MLP,Uridine diphosphate,9AA,negative,9,0
150,True,False,MLP,Uridine diphosphate glucose,9AA,negative,9,0
151,True,True,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,0
152,True,False,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,0
153,True,True,MLP,Urocanic acid,9AA,negative,9,0
154,True,False,MLP,Valine,9AA,negative,9,0
155,True,False,MLP,Xanthine,9AA,negative,9,0
156,True,True,MLP,cis-Aconitic acid,9AA,negative,9,0
157,True,True,MLP,gamma-Aminobutyric acid,9AA,negative,9,0
158,True,False,MLP,myo-Inositol,9AA,negative,9,0
159,False,True,MLP,TG 15:0-18:1-15:0,9AA,negative,9,0
160,False,False,MLP,Tetrahydrofolic acid,9AA,negative,9,0
161,False,True,MLP,Thiamine,9AA,negative,9,0
162,False,False,MLP,alpha-tocopherol,9AA,negative,9,0
163,True,False,MLP,4-Hydroxyproline,9AA,positive,0,0
164,True,False,MLP,Acetylcarnitine,9AA,positive,0,0
165,True,False,MLP,Acetylcholine,9AA,positive,0,0
166,True,True,MLP,Adenosine monophosphate,9AA,positive,0,0
167,True,False,MLP,Agmatine,9AA,positive,0,0
168,True,False,MLP,Arginine,9AA,positive,0,0
169,True,True,MLP,Argininosuccinic acid,9AA,positive,0,0
170,False,True,MLP,2-Oxoglutaric acid,9AA,positive,0,0
171,False,True,MLP,3-Hydroxyanthranilic acid,9AA,positive,0,0
172,False,True,MLP,3-Hydroxymethylglutaric acid,9AA,positive,0,0
173,False,True,MLP,3-Phosphoglyceric acid,9AA,positive,0,0
174,False,True,MLP,"4,5-Dihydroorotic acid",9AA,positive,0,0
175,False,False,MLP,5-Hydroxyindoleacetic acid,9AA,positive,0,0
176,False,False,MLP,Acetoacetic acid,9AA,positive,0,0
177,False,False,MLP,Acetyl-CoA,9AA,positive,0,0
178,False,True,MLP,Adenine,9AA,positive,0,0
179,True,False,MLP,CAR 16:0,9AA,positive,1,0
180,True,False,MLP,Carnitine,9AA,positive,1,0
181,True,False,MLP,Carnosine,9AA,positive,1,0
182,True,False,MLP,Cer d8:1/22:0 Cer,9AA,positive,1,0
183,True,False,MLP,Cholic acid,9AA,positive,1,0
184,True,True,MLP,Choline,9AA,positive,1,0
185,True,True,MLP,Citrulline,9AA,positive,1,0
186,False,False,MLP,Adenosine diphosphate,9AA,positive,1,0
187,False,True,MLP,Ascorbic acid,9AA,positive,1,0
188,False,False,MLP,Asparagine,9AA,positive,1,0
189,False,False,MLP,Aspartic acid,9AA,positive,1,0
190,False,False,MLP,Biotin,9AA,positive,1,0
191,False,False,MLP,Butyric acid,9AA,positive,1,0
192,False,True,MLP,Cardiolipin 18:1,9AA,positive,1,0
193,False,False,MLP,Cholecalciferol,9AA,positive,1,0
194,False,True,MLP,Cholesterol,9AA,positive,1,0
195,True,False,MLP,Creatine,9AA,positive,2,0
196,True,True,MLP,Creatinine,9AA,positive,2,0
197,True,False,MLP,Cyclic adenosine monophosphate,9AA,positive,2,0
198,True,False,MLP,Cytidine,9AA,positive,2,0
199,True,False,MLP,Cytidine monophosphate,9AA,positive,2,0
200,True,True,MLP,Cytosine,9AA,positive,2,0
201,True,False,MLP,Flavin mononucleotide,9AA,positive,2,0
202,False,False,MLP,Cholesteryl acetate,9AA,positive,2,0
203,False,False,MLP,Cholesteryl ester 17:0,9AA,positive,2,0
204,False,True,MLP,Citric acid,9AA,positive,2,0
205,False,True,MLP,Coenzyme A,9AA,positive,2,0
206,False,False,MLP,Cysteine,9AA,positive,2,0
207,False,False,MLP,DG 18:0-22:6,9AA,positive,2,0
208,False,True,MLP,Dihydroxyacetone,9AA,positive,2,0
209,False,True,MLP,Dihydroxyacetone phosphate,9AA,positive,2,0
210,False,False,MLP,Dopamine,9AA,positive,2,0
211,True,True,MLP,Folic acid,9AA,positive,3,0
212,True,False,MLP,GlcCer d18:1/18:0,9AA,positive,3,0
213,True,False,MLP,Glucosyl cholesterol,9AA,positive,3,0
214,True,False,MLP,Glutamine,9AA,positive,3,0
215,True,False,MLP,Glutathione,9AA,positive,3,0
216,True,False,MLP,Glycerophosphocholine,9AA,positive,3,0
217,True,True,MLP,Guanine,9AA,positive,3,0
218,False,False,MLP,Epinephrine,9AA,positive,3,0
219,False,True,MLP,Flavin adenine dinucleotide,9AA,positive,3,0
220,False,False,MLP,"Fructose 1,6-bisphosphate",9AA,positive,3,0
221,False,False,MLP,Fumaric acid,9AA,positive,3,0
222,False,True,MLP,GM3 Ganglioside 18:0,9AA,positive,3,0
223,False,False,MLP,Gluconic acid,9AA,positive,3,0
224,False,False,MLP,Glucosamine,9AA,positive,3,0
225,False,False,MLP,Glucosamine 6-phosphate,9AA,positive,3,0
226,False,True,MLP,Glucose,9AA,positive,3,0
227,True,True,MLP,Histamine,9AA,positive,4,0
228,True,False,MLP,Histidine,9AA,positive,4,0
229,True,False,MLP,Hypoxanthine,9AA,positive,4,0
230,True,True,MLP,Kynurenine,9AA,positive,4,0
231,True,False,MLP,Lyso PA 18:1,9AA,positive,4,0
232,True,True,MLP,Lyso PC 15:0,9AA,positive,4,0
233,True,False,MLP,Lyso PE 18:0,9AA,positive,4,0
234,False,False,MLP,Glutamic acid,9AA,positive,4,0
235,False,False,MLP,Glycerol 3-phosphate,9AA,positive,4,0
236,False,False,MLP,Glycine,9AA,positive,4,0
237,False,False,MLP,Homocysteine,9AA,positive,4,0
238,False,True,MLP,Kynurenic acid,9AA,positive,4,0
239,False,True,MLP,L-Dopa,9AA,positive,4,0
240,False,True,MLP,Lactic acid,9AA,positive,4,0
241,False,False,MLP,Malic acid,9AA,positive,4,0
242,False,True,MLP,Malonic acid,9AA,positive,4,0
243,True,True,MLP,Lyso PG 16:0,9AA,positive,5,0
244,True,True,MLP,Lyso PI 17:1,9AA,positive,5,0
245,True,False,MLP,Lyso PS 17:1,9AA,positive,5,0
246,True,False,MLP,MG 18:1,9AA,positive,5,0
247,True,False,MLP,Mevalonic acid,9AA,positive,5,0
248,True,False,MLP,N-Acetylaspartylglutamic acid,9AA,positive,5,0
249,True,True,MLP,N-Acetylglucosamine,9AA,positive,5,0
250,False,False,MLP,Melatonin,9AA,positive,5,0
251,False,False,MLP,Methionine,9AA,positive,5,0
252,False,False,MLP,N-Acetylaspartic acid,9AA,positive,5,0
253,False,True,MLP,N-Acetylgalactosamine 6-phosphate,9AA,positive,5,0
254,False,False,MLP,Niacinamide,9AA,positive,5,0
255,False,False,MLP,Nicotinic acid,9AA,positive,5,0
256,False,False,MLP,Ornithine,9AA,positive,5,0
257,False,True,MLP,Orotic acid,9AA,positive,5,0
258,False,True,MLP,Oxalacetic acid,9AA,positive,5,0
259,True,True,MLP,"N6,N6,N6-Trimethyllysine",9AA,positive,6,0
260,True,True,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,positive,6,0
261,True,True,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,positive,6,0
262,True,False,MLP,Nicotinamide riboside,9AA,positive,6,0
263,True,True,MLP,Nicotinamide ribotide,9AA,positive,6,0
264,True,True,MLP,Oxidized glutathione,9AA,positive,6,0
265,True,False,MLP,PA 16:0-18:1,9AA,positive,6,0
266,False,False,MLP,PE 18:0-20:4,9AA,positive,6,0
267,False,True,MLP,PI 16:0-18:1,9AA,positive,6,0
268,False,False,MLP,PI(5)P 18:1,9AA,positive,6,0
269,False,False,MLP,Palmitic acid,9AA,positive,6,0
270,False,False,MLP,Palmitoyl-CoA,9AA,positive,6,0
271,False,True,MLP,Pantothenic acid,9AA,positive,6,0
272,False,False,MLP,Phenylalanine,9AA,positive,6,0
273,False,True,MLP,Phosphoenolpyruvic acid,9AA,positive,6,0
274,False,True,MLP,Proline,9AA,positive,6,0
275,True,False,MLP,PC (O) C16-18:1,9AA,positive,7,0
276,True,True,MLP,PC 15:0-18:1,9AA,positive,7,0
277,True,False,MLP,PG 16:0-18:1,9AA,positive,7,0
278,True,False,MLP,PS (POPS) 16:0-18:1,9AA,positive,7,0
279,True,True,MLP,Pantetheine,9AA,positive,7,0
280,True,False,MLP,Propionylcarnitine,9AA,positive,7,0
281,False,True,MLP,Putrescine,9AA,positive,7,0
282,False,False,MLP,Pyruvic acid,9AA,positive,7,0
283,False,False,MLP,Quinolinic acid,9AA,positive,7,0
284,False,False,MLP,Retinoic acid,9AA,positive,7,0
285,False,False,MLP,Ribulose,9AA,positive,7,0
286,False,False,MLP,Serine,9AA,positive,7,0
287,False,True,MLP,Serotonin,9AA,positive,7,0
288,False,True,MLP,Succinic acid,9AA,positive,7,0
289,False,True,MLP,Sulfo GalCer 18:0(2S-OH),9AA,positive,7,0
290,True,False,MLP,Prostaglandin E1,9AA,positive,8,0
291,True,True,MLP,Pyridoxine,9AA,positive,8,0
292,True,False,MLP,Riboflavin,9AA,positive,8,0
293,True,True,MLP,S-Adenosylhomocysteine,9AA,positive,8,0
294,True,True,MLP,S-Adenosylmethionine,9AA,positive,8,0
295,True,False,MLP,SM d18:1-16:0,9AA,positive,8,0
296,False,True,MLP,Taurine,9AA,positive,8,0
297,False,True,MLP,Taurocholic acid,9AA,positive,8,0
298,False,True,MLP,Thymine,9AA,positive,8,0
299,False,True,MLP,Tyrosine,9AA,positive,8,0
300,False,False,MLP,Uracil,9AA,positive,8,0
301,False,True,MLP,Ureidosuccinic acid,9AA,positive,8,0
302,False,True,MLP,Uric acid,9AA,positive,8,0
303,False,False,MLP,Uridine,9AA,positive,8,0
304,False,False,MLP,Uridine diphosphate,9AA,positive,8,0
305,True,False,MLP,Spermidine,9AA,positive,9,0
306,True,False,MLP,TG 15:0-18:1-15:0,9AA,positive,9,0
307,True,False,MLP,Tetrahydrofolic acid,9AA,positive,9,0
308,True,True,MLP,Thiamine,9AA,positive,9,0
309,True,True,MLP,Tryptophan,9AA,positive,9,0
310,True,True,MLP,Urocanic acid,9AA,positive,9,0
311,False,False,MLP,Uridine diphosphate glucose,9AA,positive,9,0
312,False,True,MLP,Uridine diphosphate glucuronic acid,9AA,positive,9,0
313,False,False,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,positive,9,0
314,False,False,MLP,Valine,9AA,positive,9,0
315,False,False,MLP,Xanthine,9AA,positive,9,0
316,False,False,MLP,alpha-tocopherol,9AA,positive,9,0
317,False,True,MLP,cis-Aconitic acid,9AA,positive,9,0
318,False,True,MLP,gamma-Aminobutyric acid,9AA,positive,9,0
319,False,False,MLP,myo-Inositol,9AA,positive,9,0
320,True,True,MLP,2-Oxoglutaric acid,CHCA,negative,0,0
321,True,False,MLP,3-Phosphoglyceric acid,CHCA,negative,0,0
322,True,False,MLP,"4,5-Dihydroorotic acid",CHCA,negative,0,0
323,True,False,MLP,6-Phosphogluconic acid,CHCA,negative,0,0
324,True,False,MLP,Acetyl-CoA,CHCA,negative,0,0
325,True,False,MLP,Adenosine diphosphate,CHCA,negative,0,0
326,True,False,MLP,Arginine,CHCA,negative,0,0
327,True,True,MLP,Argininosuccinic acid,CHCA,negative,0,0
328,False,True,MLP,3-Hydroxyanthranilic acid,CHCA,negative,0,0
329,False,False,MLP,3-Hydroxymethylglutaric acid,CHCA,negative,0,0
330,False,True,MLP,4-Hydroxyproline,CHCA,negative,0,0
331,False,False,MLP,5-Hydroxyindoleacetic acid,CHCA,negative,0,0
332,False,True,MLP,Acetoacetic acid,CHCA,negative,0,0
333,False,False,MLP,Acetylcarnitine,CHCA,negative,0,0
334,False,True,MLP,Acetylcholine,CHCA,negative,0,0
335,False,False,MLP,Adenine,CHCA,negative,0,0
336,False,True,MLP,Adenosine monophosphate,CHCA,negative,0,0
337,True,True,MLP,Ascorbic acid,CHCA,negative,1,0
338,True,False,MLP,Aspartic acid,CHCA,negative,1,0
339,True,True,MLP,Cardiolipin 18:1,CHCA,negative,1,0
340,True,False,MLP,Carnosine,CHCA,negative,1,0
341,True,False,MLP,Cholic acid,CHCA,negative,1,0
342,True,True,MLP,Citric acid,CHCA,negative,1,0
343,True,True,MLP,Citrulline,CHCA,negative,1,0
344,True,True,MLP,Coenzyme A,CHCA,negative,1,0
345,False,False,MLP,Agmatine,CHCA,negative,1,0
346,False,False,MLP,Asparagine,CHCA,negative,1,0
347,False,False,MLP,Biotin,CHCA,negative,1,0
348,False,False,MLP,Butyric acid,CHCA,negative,1,0
349,False,False,MLP,CAR 16:0,CHCA,negative,1,0
350,False,False,MLP,Carnitine,CHCA,negative,1,0
351,False,False,MLP,Cer d8:1/22:0 Cer,CHCA,negative,1,0
352,False,False,MLP,Cholecalciferol,CHCA,negative,1,0
353,False,True,MLP,Choline,CHCA,negative,1,0
354,True,False,MLP,Cysteine,CHCA,negative,2,0
355,True,True,MLP,Dihydroxyacetone phosphate,CHCA,negative,2,0
356,True,True,MLP,Flavin adenine dinucleotide,CHCA,negative,2,0
357,True,True,MLP,"Fructose 1,6-bisphosphate",CHCA,negative,2,0
358,True,False,MLP,Fumaric acid,CHCA,negative,2,0
359,True,False,MLP,GM3 Ganglioside 18:0,CHCA,negative,2,0
360,True,True,MLP,Gluconic acid,CHCA,negative,2,0
361,False,False,MLP,Creatine,CHCA,negative,2,0
362,False,True,MLP,Creatinine,CHCA,negative,2,0
363,False,False,MLP,Cyclic adenosine monophosphate,CHCA,negative,2,0
364,False,False,MLP,Cystine,CHCA,negative,2,0
365,False,False,MLP,Cytidine,CHCA,negative,2,0
366,False,False,MLP,Cytidine monophosphate,CHCA,negative,2,0
367,False,True,MLP,Cytosine,CHCA,negative,2,0
368,False,True,MLP,Dihydroxyacetone,CHCA,negative,2,0
369,False,False,MLP,Dopamine,CHCA,negative,2,0
370,True,True,MLP,Glucosamine 6-phosphate,CHCA,negative,3,0
371,True,True,MLP,Glucose 6-phosphate,CHCA,negative,3,0
372,True,False,MLP,Glutamic acid,CHCA,negative,3,0
373,True,False,MLP,Glycerol 3-phosphate,CHCA,negative,3,0
374,True,False,MLP,Histidine,CHCA,negative,3,0
375,True,False,MLP,Hypoxanthine,CHCA,negative,3,0
376,True,False,MLP,Lyso PA 18:1,CHCA,negative,3,0
377,False,False,MLP,Epinephrine,CHCA,negative,3,0
378,False,False,MLP,Estradiol,CHCA,negative,3,0
379,False,False,MLP,Flavin mononucleotide,CHCA,negative,3,0
380,False,True,MLP,Folic acid,CHCA,negative,3,0
381,False,False,MLP,GlcCer d18:1/18:0,CHCA,negative,3,0
382,False,False,MLP,Glucosamine,CHCA,negative,3,0
383,False,True,MLP,Glucose,CHCA,negative,3,0
384,False,False,MLP,Glutamine,CHCA,negative,3,0
385,False,False,MLP,Glutathione,CHCA,negative,3,0
386,True,True,MLP,Lyso PG 16:0,CHCA,negative,4,0
387,True,True,MLP,Lyso PI 17:1,CHCA,negative,4,0
388,True,False,MLP,Lyso PS 17:1,CHCA,negative,4,0
389,True,False,MLP,Malic acid,CHCA,negative,4,0
390,True,True,MLP,Malonic acid,CHCA,negative,4,0
391,True,False,MLP,Mevalonic acid,CHCA,negative,4,0
392,True,True,MLP,Myo-inositol 1-phosphate,CHCA,negative,4,0
393,False,False,MLP,Glycerophosphocholine,CHCA,negative,4,0
394,False,False,MLP,Glycine,CHCA,negative,4,0
395,False,True,MLP,Guanine,CHCA,negative,4,0
396,False,True,MLP,Histamine,CHCA,negative,4,0
397,False,False,MLP,Homocysteine,CHCA,negative,4,0
398,False,False,MLP,Kynurenic acid,CHCA,negative,4,0
399,False,False,MLP,Kynurenine,CHCA,negative,4,0
400,False,True,MLP,L-Dopa,CHCA,negative,4,0
401,True,False,MLP,N-Acetylaspartic acid,CHCA,negative,5,0
402,True,False,MLP,N-Acetylaspartylglutamic acid,CHCA,negative,5,0
403,True,True,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",CHCA,negative,5,0
404,True,True,MLP,Orotic acid,CHCA,negative,5,0
405,True,True,MLP,Oxalacetic acid,CHCA,negative,5,0
406,True,True,MLP,Oxidized glutathione,CHCA,negative,5,0
407,True,True,MLP,PA 16:0-18:1,CHCA,negative,5,0
408,False,True,MLP,Lactic acid,CHCA,negative,5,0
409,False,True,MLP,Lyso PC 15:0,CHCA,negative,5,0
410,False,False,MLP,Lyso PE 18:0,CHCA,negative,5,0
411,False,False,MLP,MG 18:1,CHCA,negative,5,0
412,False,False,MLP,Melatonin,CHCA,negative,5,0
413,False,False,MLP,Methionine,CHCA,negative,5,0
414,False,True,MLP,N-Acetylgalactosamine 6-phosphate,CHCA,negative,5,0
415,False,True,MLP,N-Acetylglucosamine,CHCA,negative,5,0
416,True,False,MLP,PE 18:0-20:4,CHCA,negative,6,0
417,True,False,MLP,PG 16:0-18:1,CHCA,negative,6,0
418,True,True,MLP,PI 16:0-18:1,CHCA,negative,6,0
419,True,False,MLP,PI(5)P 18:1,CHCA,negative,6,0
420,True,False,MLP,PS (POPS) 16:0-18:1,CHCA,negative,6,0
421,True,False,MLP,Palmitoyl-CoA,CHCA,negative,6,0
422,True,True,MLP,Pantetheine,CHCA,negative,6,0
423,False,True,MLP,"N6,N6,N6-Trimethyllysine",CHCA,negative,6,0
424,False,False,MLP,Niacinamide,CHCA,negative,6,0
425,False,True,MLP,Nicotinamide adenine dinucleotide (NAD),CHCA,negative,6,0
426,False,False,MLP,Nicotinamide riboside,CHCA,negative,6,0
427,False,True,MLP,Nicotinamide ribotide,CHCA,negative,6,0
428,False,False,MLP,Nicotinic acid,CHCA,negative,6,0
429,False,False,MLP,Ornithine,CHCA,negative,6,0
430,False,False,MLP,Palmitic acid,CHCA,negative,6,0
431,True,True,MLP,Pantothenic acid,CHCA,negative,7,0
432,True,False,MLP,Phenylalanine,CHCA,negative,7,0
433,True,True,MLP,Phosphoenolpyruvic acid,CHCA,negative,7,0
434,True,True,MLP,Proline,CHCA,negative,7,0
435,True,True,MLP,Quinolinic acid,CHCA,negative,7,0
436,True,False,MLP,Ribulose 5-phosphate,CHCA,negative,7,0
437,True,True,MLP,S-Adenosylhomocysteine,CHCA,negative,7,0
438,False,True,MLP,Phosphocreatine,CHCA,negative,7,0
439,False,True,MLP,Phylloquinone,CHCA,negative,7,0
440,False,False,MLP,Propionylcarnitine,CHCA,negative,7,0
441,False,True,MLP,Prostaglandin E1,CHCA,negative,7,0
442,False,True,MLP,Putrescine,CHCA,negative,7,0
443,False,True,MLP,Pyridoxine,CHCA,negative,7,0
444,False,False,MLP,Pyruvic acid,CHCA,negative,7,0
445,False,False,MLP,Retinoic acid,CHCA,negative,7,0
446,True,True,MLP,Succinic acid,CHCA,negative,8,0
447,True,True,MLP,Sulfo GalCer 18:0(2S-OH),CHCA,negative,8,0
448,True,True,MLP,Taurine,CHCA,negative,8,0
