,observed_value,prediction,classifier,name_short,matrix,polarity,fold,feat_sel_method,feat_sel_quantile
9,1,1,MLP,PS (POPS) 16:0-18:1,9AA,negative,6,kendall,0.0
10,1,1,MLP,Palmitoyl-CoA,9AA,negative,6,kendall,0.0
11,1,1,MLP,Pantetheine,9AA,negative,6,kendall,0.0
12,0,0,MLP,Melatonin,9AA,negative,6,kendall,0.0
13,0,0,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6,kendall,0.0
14,0,1,MLP,Niacinamide,9AA,negative,6,kendall,0.0
15,0,1,MLP,Nicotinamide riboside,9AA,negative,6,kendall,0.0
16,0,1,MLP,Nicotinamide ribotide,9AA,negative,6,kendall,0.0
0,1,1,MLP,Pantothenic acid,9AA,negative,7,kendall,0.0
1,1,1,MLP,Phenylalanine,9AA,negative,7,kendall,0.0
2,1,1,MLP,Phosphocreatine,9AA,negative,7,kendall,0.0
3,1,1,MLP,Phosphoenolpyruvic acid,9AA,negative,7,kendall,0.0
4,1,1,MLP,Proline,9AA,negative,7,kendall,0.0
5,1,0,MLP,Prostaglandin E1,9AA,negative,7,kendall,0.0
6,1,0,MLP,Pyridoxine,9AA,negative,7,kendall,0.0
7,1,1,MLP,Quinolinic acid,9AA,negative,7,kendall,0.0
8,1,1,MLP,Riboflavin,9AA,negative,7,kendall,0.0
9,1,1,MLP,Ribulose,9AA,negative,7,kendall,0.0
10,1,1,MLP,Ribulose 5-phosphate,9AA,negative,7,kendall,0.0
11,1,1,MLP,S-Adenosylhomocysteine,9AA,negative,7,kendall,0.0
12,0,1,MLP,Oxalacetic acid,9AA,negative,7,kendall,0.0
13,0,0,MLP,Palmitic acid,9AA,negative,7,kendall,0.0
14,0,1,MLP,Phosphoserine,9AA,negative,7,kendall,0.0
15,0,0,MLP,Phylloquinone,9AA,negative,7,kendall,0.0
16,0,0,MLP,Propionylcarnitine,9AA,negative,7,kendall,0.0
0,1,1,MLP,SM d18:1-16:0,9AA,negative,8,kendall,0.0
1,1,1,MLP,Serine,9AA,negative,8,kendall,0.0
2,1,1,MLP,Succinic acid,9AA,negative,8,kendall,0.0
3,1,1,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8,kendall,0.0
4,1,0,MLP,Taurine,9AA,negative,8,kendall,0.0
5,1,1,MLP,Taurocholic acid,9AA,negative,8,kendall,0.0
6,1,1,MLP,Thymine,9AA,negative,8,kendall,0.0
7,1,1,MLP,Tryptophan,9AA,negative,8,kendall,0.0
8,1,1,MLP,Tyrosine,9AA,negative,8,kendall,0.0
9,1,1,MLP,Uracil,9AA,negative,8,kendall,0.0
10,1,1,MLP,Ureidosuccinic acid,9AA,negative,8,kendall,0.0
11,1,1,MLP,Uric acid,9AA,negative,8,kendall,0.0
12,0,0,MLP,Putrescine,9AA,negative,8,kendall,0.0
13,0,0,MLP,Pyruvic acid,9AA,negative,8,kendall,0.0
14,0,0,MLP,Retinoic acid,9AA,negative,8,kendall,0.0
15,0,1,MLP,S-Adenosylmethionine,9AA,negative,8,kendall,0.0
16,0,1,MLP,Serotonin,9AA,negative,8,kendall,0.0
0,1,1,MLP,Uridine,9AA,negative,9,kendall,0.0
1,1,1,MLP,Uridine diphosphate,9AA,negative,9,kendall,0.0
2,1,1,MLP,Uridine diphosphate glucose,9AA,negative,9,kendall,0.0
3,1,1,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,kendall,0.0
4,1,1,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,kendall,0.0
5,1,1,MLP,Urocanic acid,9AA,negative,9,kendall,0.0
6,1,0,MLP,Valine,9AA,negative,9,kendall,0.0
7,1,1,MLP,Xanthine,9AA,negative,9,kendall,0.0
8,1,0,MLP,cis-Aconitic acid,9AA,negative,9,kendall,0.0
9,1,1,MLP,gamma-Aminobutyric acid,9AA,negative,9,kendall,0.0
10,1,1,MLP,myo-Inositol,9AA,negative,9,kendall,0.0
11,0,0,MLP,Spermidine,9AA,negative,9,kendall,0.0
12,0,0,MLP,TG 15:0-18:1-15:0,9AA,negative,9,kendall,0.0
13,0,0,MLP,Tetrahydrofolic acid,9AA,negative,9,kendall,0.0
14,0,0,MLP,Thiamine,9AA,negative,9,kendall,0.0
15,0,0,MLP,alpha-tocopherol,9AA,negative,9,kendall,0.0
0,1,0,MLP,2-Oxoglutaric acid,9AA,negative,0,kendall,0.16666666666666666
1,1,1,MLP,3-Hydroxyanthranilic acid,9AA,negative,0,kendall,0.16666666666666666
2,1,1,MLP,3-Phosphoglyceric acid,9AA,negative,0,kendall,0.16666666666666666
3,1,1,MLP,"4,5-Dihydroorotic acid",9AA,negative,0,kendall,0.16666666666666666
4,1,1,MLP,4-Hydroxyproline,9AA,negative,0,kendall,0.16666666666666666
5,1,0,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0,kendall,0.16666666666666666
6,1,1,MLP,6-Phosphogluconic acid,9AA,negative,0,kendall,0.16666666666666666
7,1,1,MLP,Acetyl-CoA,9AA,negative,0,kendall,0.16666666666666666
8,1,1,MLP,Adenine,9AA,negative,0,kendall,0.16666666666666666
9,1,1,MLP,Adenosine diphosphate,9AA,negative,0,kendall,0.16666666666666666
10,1,1,MLP,Adenosine monophosphate,9AA,negative,0,kendall,0.16666666666666666
11,1,1,MLP,Arginine,9AA,negative,0,kendall,0.16666666666666666
12,0,1,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0,kendall,0.16666666666666666
13,0,1,MLP,Acetoacetic acid,9AA,negative,0,kendall,0.16666666666666666
14,0,0,MLP,Acetylcarnitine,9AA,negative,0,kendall,0.16666666666666666
15,0,0,MLP,Acetylcholine,9AA,negative,0,kendall,0.16666666666666666
16,0,1,MLP,Agmatine,9AA,negative,0,kendall,0.16666666666666666
0,1,1,MLP,Argininosuccinic acid,9AA,negative,1,kendall,0.16666666666666666
1,1,1,MLP,Ascorbic acid,9AA,negative,1,kendall,0.16666666666666666
2,1,1,MLP,Asparagine,9AA,negative,1,kendall,0.16666666666666666
3,1,1,MLP,Aspartic acid,9AA,negative,1,kendall,0.16666666666666666
4,1,1,MLP,Cardiolipin 18:1,9AA,negative,1,kendall,0.16666666666666666
5,1,1,MLP,Carnosine,9AA,negative,1,kendall,0.16666666666666666
6,1,1,MLP,Cer d8:1/22:0 Cer,9AA,negative,1,kendall,0.16666666666666666
7,1,1,MLP,Cholic acid,9AA,negative,1,kendall,0.16666666666666666
8,1,0,MLP,Citric acid,9AA,negative,1,kendall,0.16666666666666666
9,1,1,MLP,Citrulline,9AA,negative,1,kendall,0.16666666666666666
10,1,1,MLP,Coenzyme A,9AA,negative,1,kendall,0.16666666666666666
11,1,0,MLP,Creatine,9AA,negative,1,kendall,0.16666666666666666
12,0,0,MLP,Arachidonic acid,9AA,negative,1,kendall,0.16666666666666666
13,0,1,MLP,Biotin,9AA,negative,1,kendall,0.16666666666666666
14,0,0,MLP,Butyric acid,9AA,negative,1,kendall,0.16666666666666666
15,0,0,MLP,CAR 16:0,9AA,negative,1,kendall,0.16666666666666666
16,0,0,MLP,Carbamoyl phosphate,9AA,negative,1,kendall,0.16666666666666666
0,1,1,MLP,Creatinine,9AA,negative,2,kendall,0.16666666666666666
1,1,0,MLP,Cysteine,9AA,negative,2,kendall,0.16666666666666666
2,1,1,MLP,Cystine,9AA,negative,2,kendall,0.16666666666666666
3,1,0,MLP,Cytidine,9AA,negative,2,kendall,0.16666666666666666
4,1,1,MLP,Cytosine,9AA,negative,2,kendall,0.16666666666666666
5,1,1,MLP,Dihydroxyacetone phosphate,9AA,negative,2,kendall,0.16666666666666666
6,1,0,MLP,Dopamine,9AA,negative,2,kendall,0.16666666666666666
7,1,0,MLP,Epinephrine,9AA,negative,2,kendall,0.16666666666666666
8,1,1,MLP,Flavin adenine dinucleotide,9AA,negative,2,kendall,0.16666666666666666
9,1,1,MLP,Flavin mononucleotide,9AA,negative,2,kendall,0.16666666666666666
10,1,1,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2,kendall,0.16666666666666666
11,1,1,MLP,GM3 Ganglioside 18:0,9AA,negative,2,kendall,0.16666666666666666
12,0,0,MLP,Carnitine,9AA,negative,2,kendall,0.16666666666666666
13,0,1,MLP,Cholecalciferol,9AA,negative,2,kendall,0.16666666666666666
14,0,1,MLP,Cholesterol,9AA,negative,2,kendall,0.16666666666666666
15,0,0,MLP,Cholesteryl acetate,9AA,negative,2,kendall,0.16666666666666666
16,0,1,MLP,Cholesteryl ester 17:0,9AA,negative,2,kendall,0.16666666666666666
0,1,1,MLP,GlcCer d18:1/18:0,9AA,negative,3,kendall,0.16666666666666666
1,1,1,MLP,Gluconic acid,9AA,negative,3,kendall,0.16666666666666666
2,1,0,MLP,Glucosamine 6-phosphate,9AA,negative,3,kendall,0.16666666666666666
3,1,0,MLP,Glucose,9AA,negative,3,kendall,0.16666666666666666
4,1,1,MLP,Glucose 6-phosphate,9AA,negative,3,kendall,0.16666666666666666
5,1,0,MLP,Glucosyl cholesterol,9AA,negative,3,kendall,0.16666666666666666
6,1,1,MLP,Glutamic acid,9AA,negative,3,kendall,0.16666666666666666
7,1,1,MLP,Glutamine,9AA,negative,3,kendall,0.16666666666666666
8,1,1,MLP,Glutathione,9AA,negative,3,kendall,0.16666666666666666
9,1,0,MLP,Glycerol 3-phosphate,9AA,negative,3,kendall,0.16666666666666666
10,1,1,MLP,Guanine,9AA,negative,3,kendall,0.16666666666666666
11,1,1,MLP,Histamine,9AA,negative,3,kendall,0.16666666666666666
12,0,0,MLP,Choline,9AA,negative,3,kendall,0.16666666666666666
13,0,1,MLP,Cyclic adenosine monophosphate,9AA,negative,3,kendall,0.16666666666666666
14,0,1,MLP,Cytidine monophosphate,9AA,negative,3,kendall,0.16666666666666666
15,0,0,MLP,DG 18:0-22:6,9AA,negative,3,kendall,0.16666666666666666
16,0,1,MLP,Dihydroxyacetone,9AA,negative,3,kendall,0.16666666666666666
0,1,1,MLP,Histidine,9AA,negative,4,kendall,0.16666666666666666
1,1,1,MLP,Hypoxanthine,9AA,negative,4,kendall,0.16666666666666666
2,1,1,MLP,Kynurenic acid,9AA,negative,4,kendall,0.16666666666666666
3,1,1,MLP,Kynurenine,9AA,negative,4,kendall,0.16666666666666666
4,1,1,MLP,L-Dopa,9AA,negative,4,kendall,0.16666666666666666
5,1,1,MLP,Lyso PA 18:1,9AA,negative,4,kendall,0.16666666666666666
6,1,1,MLP,Lyso PC 15:0,9AA,negative,4,kendall,0.16666666666666666
7,1,1,MLP,Lyso PE 18:0,9AA,negative,4,kendall,0.16666666666666666
8,1,1,MLP,Lyso PG 16:0,9AA,negative,4,kendall,0.16666666666666666
9,1,1,MLP,Lyso PI 17:1,9AA,negative,4,kendall,0.16666666666666666
10,1,1,MLP,Lyso PS 17:1,9AA,negative,4,kendall,0.16666666666666666
11,1,1,MLP,Malic acid,9AA,negative,4,kendall,0.16666666666666666
12,0,1,MLP,Estradiol,9AA,negative,4,kendall,0.16666666666666666
13,0,1,MLP,Folic acid,9AA,negative,4,kendall,0.16666666666666666
14,0,1,MLP,Fumaric acid,9AA,negative,4,kendall,0.16666666666666666
15,0,1,MLP,Glucosamine,9AA,negative,4,kendall,0.16666666666666666
16,0,1,MLP,Glycerophosphocholine,9AA,negative,4,kendall,0.16666666666666666
0,1,0,MLP,Malonic acid,9AA,negative,5,kendall,0.16666666666666666
1,1,1,MLP,Methionine,9AA,negative,5,kendall,0.16666666666666666
2,1,0,MLP,Mevalonic acid,9AA,negative,5,kendall,0.16666666666666666
3,1,1,MLP,Myo-inositol 1-phosphate,9AA,negative,5,kendall,0.16666666666666666
4,1,0,MLP,N-Acetylaspartic acid,9AA,negative,5,kendall,0.16666666666666666
5,1,1,MLP,N-Acetylaspartylglutamic acid,9AA,negative,5,kendall,0.16666666666666666
6,1,1,MLP,N-Acetylgalactosamine 6-phosphate,9AA,negative,5,kendall,0.16666666666666666
7,1,0,MLP,N-Acetylglucosamine,9AA,negative,5,kendall,0.16666666666666666
8,1,0,MLP,Nicotinamide adenine dinucleotide (NAD),9AA,negative,5,kendall,0.16666666666666666
9,1,1,MLP,"Nicotinamide adenine dinucleotide, reduced (NADH)",9AA,negative,5,kendall,0.16666666666666666
10,1,1,MLP,Nicotinic acid,9AA,negative,5,kendall,0.16666666666666666
11,1,1,MLP,Ornithine,9AA,negative,5,kendall,0.16666666666666666
12,0,1,MLP,Glycine,9AA,negative,5,kendall,0.16666666666666666
13,0,1,MLP,Homocysteine,9AA,negative,5,kendall,0.16666666666666666
14,0,1,MLP,Indole,9AA,negative,5,kendall,0.16666666666666666
15,0,1,MLP,Lactic acid,9AA,negative,5,kendall,0.16666666666666666
16,0,0,MLP,MG 18:1,9AA,negative,5,kendall,0.16666666666666666
0,1,1,MLP,Orotic acid,9AA,negative,6,kendall,0.16666666666666666
1,1,1,MLP,Oxidized glutathione,9AA,negative,6,kendall,0.16666666666666666
2,1,1,MLP,PA 16:0-18:1,9AA,negative,6,kendall,0.16666666666666666
3,1,0,MLP,PC (O) C16-18:1,9AA,negative,6,kendall,0.16666666666666666
4,1,0,MLP,PC 15:0-18:1,9AA,negative,6,kendall,0.16666666666666666
5,1,1,MLP,PE 18:0-20:4,9AA,negative,6,kendall,0.16666666666666666
6,1,1,MLP,PG 16:0-18:1,9AA,negative,6,kendall,0.16666666666666666
7,1,1,MLP,PI 16:0-18:1,9AA,negative,6,kendall,0.16666666666666666
8,1,1,MLP,PI(5)P 18:1,9AA,negative,6,kendall,0.16666666666666666
9,1,1,MLP,PS (POPS) 16:0-18:1,9AA,negative,6,kendall,0.16666666666666666
10,1,1,MLP,Palmitoyl-CoA,9AA,negative,6,kendall,0.16666666666666666
11,1,1,MLP,Pantetheine,9AA,negative,6,kendall,0.16666666666666666
12,0,0,MLP,Melatonin,9AA,negative,6,kendall,0.16666666666666666
13,0,0,MLP,"N6,N6,N6-Trimethyllysine",9AA,negative,6,kendall,0.16666666666666666
14,0,1,MLP,Niacinamide,9AA,negative,6,kendall,0.16666666666666666
15,0,1,MLP,Nicotinamide riboside,9AA,negative,6,kendall,0.16666666666666666
16,0,1,MLP,Nicotinamide ribotide,9AA,negative,6,kendall,0.16666666666666666
0,1,1,MLP,Pantothenic acid,9AA,negative,7,kendall,0.16666666666666666
1,1,1,MLP,Phenylalanine,9AA,negative,7,kendall,0.16666666666666666
2,1,1,MLP,Phosphocreatine,9AA,negative,7,kendall,0.16666666666666666
3,1,1,MLP,Phosphoenolpyruvic acid,9AA,negative,7,kendall,0.16666666666666666
4,1,1,MLP,Proline,9AA,negative,7,kendall,0.16666666666666666
5,1,1,MLP,Prostaglandin E1,9AA,negative,7,kendall,0.16666666666666666
6,1,1,MLP,Pyridoxine,9AA,negative,7,kendall,0.16666666666666666
7,1,1,MLP,Quinolinic acid,9AA,negative,7,kendall,0.16666666666666666
8,1,1,MLP,Riboflavin,9AA,negative,7,kendall,0.16666666666666666
9,1,1,MLP,Ribulose,9AA,negative,7,kendall,0.16666666666666666
10,1,1,MLP,Ribulose 5-phosphate,9AA,negative,7,kendall,0.16666666666666666
11,1,1,MLP,S-Adenosylhomocysteine,9AA,negative,7,kendall,0.16666666666666666
12,0,1,MLP,Oxalacetic acid,9AA,negative,7,kendall,0.16666666666666666
13,0,0,MLP,Palmitic acid,9AA,negative,7,kendall,0.16666666666666666
14,0,1,MLP,Phosphoserine,9AA,negative,7,kendall,0.16666666666666666
15,0,0,MLP,Phylloquinone,9AA,negative,7,kendall,0.16666666666666666
16,0,0,MLP,Propionylcarnitine,9AA,negative,7,kendall,0.16666666666666666
0,1,1,MLP,SM d18:1-16:0,9AA,negative,8,kendall,0.16666666666666666
1,1,1,MLP,Serine,9AA,negative,8,kendall,0.16666666666666666
2,1,1,MLP,Succinic acid,9AA,negative,8,kendall,0.16666666666666666
3,1,1,MLP,Sulfo GalCer 18:0(2S-OH),9AA,negative,8,kendall,0.16666666666666666
4,1,0,MLP,Taurine,9AA,negative,8,kendall,0.16666666666666666
5,1,1,MLP,Taurocholic acid,9AA,negative,8,kendall,0.16666666666666666
6,1,1,MLP,Thymine,9AA,negative,8,kendall,0.16666666666666666
7,1,1,MLP,Tryptophan,9AA,negative,8,kendall,0.16666666666666666
8,1,1,MLP,Tyrosine,9AA,negative,8,kendall,0.16666666666666666
9,1,1,MLP,Uracil,9AA,negative,8,kendall,0.16666666666666666
10,1,1,MLP,Ureidosuccinic acid,9AA,negative,8,kendall,0.16666666666666666
11,1,1,MLP,Uric acid,9AA,negative,8,kendall,0.16666666666666666
12,0,0,MLP,Putrescine,9AA,negative,8,kendall,0.16666666666666666
13,0,0,MLP,Pyruvic acid,9AA,negative,8,kendall,0.16666666666666666
14,0,0,MLP,Retinoic acid,9AA,negative,8,kendall,0.16666666666666666
15,0,1,MLP,S-Adenosylmethionine,9AA,negative,8,kendall,0.16666666666666666
16,0,1,MLP,Serotonin,9AA,negative,8,kendall,0.16666666666666666
0,1,1,MLP,Uridine,9AA,negative,9,kendall,0.16666666666666666
1,1,1,MLP,Uridine diphosphate,9AA,negative,9,kendall,0.16666666666666666
2,1,1,MLP,Uridine diphosphate glucose,9AA,negative,9,kendall,0.16666666666666666
3,1,1,MLP,Uridine diphosphate glucuronic acid,9AA,negative,9,kendall,0.16666666666666666
4,1,1,MLP,Uridine diphosphate-N-acetylglucosamine,9AA,negative,9,kendall,0.16666666666666666
5,1,1,MLP,Urocanic acid,9AA,negative,9,kendall,0.16666666666666666
6,1,0,MLP,Valine,9AA,negative,9,kendall,0.16666666666666666
7,1,1,MLP,Xanthine,9AA,negative,9,kendall,0.16666666666666666
8,1,0,MLP,cis-Aconitic acid,9AA,negative,9,kendall,0.16666666666666666
9,1,0,MLP,gamma-Aminobutyric acid,9AA,negative,9,kendall,0.16666666666666666
10,1,1,MLP,myo-Inositol,9AA,negative,9,kendall,0.16666666666666666
11,0,0,MLP,Spermidine,9AA,negative,9,kendall,0.16666666666666666
12,0,0,MLP,TG 15:0-18:1-15:0,9AA,negative,9,kendall,0.16666666666666666
13,0,0,MLP,Tetrahydrofolic acid,9AA,negative,9,kendall,0.16666666666666666
14,0,0,MLP,Thiamine,9AA,negative,9,kendall,0.16666666666666666
15,0,0,MLP,alpha-tocopherol,9AA,negative,9,kendall,0.16666666666666666
0,1,0,MLP,2-Oxoglutaric acid,9AA,negative,0,kendall,0.3333333333333333
1,1,1,MLP,3-Hydroxyanthranilic acid,9AA,negative,0,kendall,0.3333333333333333
2,1,1,MLP,3-Phosphoglyceric acid,9AA,negative,0,kendall,0.3333333333333333
3,1,1,MLP,"4,5-Dihydroorotic acid",9AA,negative,0,kendall,0.3333333333333333
4,1,1,MLP,4-Hydroxyproline,9AA,negative,0,kendall,0.3333333333333333
5,1,0,MLP,5-Hydroxyindoleacetic acid,9AA,negative,0,kendall,0.3333333333333333
6,1,1,MLP,6-Phosphogluconic acid,9AA,negative,0,kendall,0.3333333333333333
7,1,1,MLP,Acetyl-CoA,9AA,negative,0,kendall,0.3333333333333333
8,1,1,MLP,Adenine,9AA,negative,0,kendall,0.3333333333333333
9,1,1,MLP,Adenosine diphosphate,9AA,negative,0,kendall,0.3333333333333333
10,1,1,MLP,Adenosine monophosphate,9AA,negative,0,kendall,0.3333333333333333
11,1,1,MLP,Arginine,9AA,negative,0,kendall,0.3333333333333333
12,0,1,MLP,3-Hydroxymethylglutaric acid,9AA,negative,0,kendall,0.3333333333333333
13,0,1,MLP,Acetoacetic acid,9AA,negative,0,kendall,0.3333333333333333
