,name_short,adduct,spot_intensity_bgr_corrected,pred_val,Matrix short,Polarity,formal_charge,detectability,matrix_obscured
195,Malic acid,-H,93725.63,0.9996728395018076,NOR,negative,0.0,True,0
201,Malic acid,+Cl,0.0,0.0061678046235247,NOR,negative,0.0,False,0
211,Malic acid,[M]-,2.0627978,0.0016396586121183,NOR,negative,0.0,False,0
244,Malic acid,+H,-0.025383577,0.0061678046235247,9AA,positive,0.0,False,0
264,Malic acid,[M]+,-0.0042030043,0.0061678046235247,9AA,positive,0.0,False,0
265,Malic acid,+K,-0.005588229,0.0061678046235247,9AA,positive,0.0,False,0
266,Malic acid,+Na,0.0,0.0061678046235247,9AA,positive,0.0,False,0
272,Malic acid,+Na,2653.118,0.9995172751972222,CHCA,positive,0.0,True,0
274,Malic acid,+K,270.0042,0.996317554219689,CHCA,positive,0.0,True,0
275,Malic acid,[M]+,0.27188158,0.0057657930787055,CHCA,positive,0.0,False,0
300,Malic acid,+H,-0.01202594,0.0061678046235247,CHCA,positive,0.0,False,0
304,Malic acid,+Na,449.785,0.9996038418090444,ClCCA,positive,0.0,True,0
305,Malic acid,+K,34.869404,0.9933715588243168,ClCCA,positive,0.0,True,0
314,Malic acid,+H,-0.011318971,0.0061678046235247,ClCCA,positive,0.0,False,0
321,Malic acid,[M]+,-0.0886486,0.0061678046235247,ClCCA,positive,0.0,False,0
336,Malic acid,+K,283.20172,0.81,DAN,positive,0.0,True,0
338,Malic acid,+Na,746.74835,0.9926304919257042,DAN,positive,0.0,True,0
342,Malic acid,+H,-0.004508368,0.0061678046235247,DAN,positive,0.0,False,0
350,Malic acid,[M]+,-0.024618628,0.0061678046235247,DAN,positive,0.0,False,0
373,Malic acid,+H,-0.01592583,0.0061678046235247,DHAP,positive,0.0,False,0
374,Malic acid,+Na,27.216457,0.81,DHAP,positive,0.0,True,0
375,Malic acid,[M]+,-0.010019667,0.0061678046235247,DHAP,positive,0.0,False,0
394,Malic acid,+K,1.4687965,0.0025664169318315,DHAP,positive,0.0,False,0
402,Malic acid,+Na,916.19965,0.999136155300887,DHB,positive,0.0,True,0
409,Malic acid,+H,-0.010427054,0.0061678046235247,DHB,positive,0.0,False,0
418,Malic acid,[M]+,-0.037268423,0.0061678046235247,DHB,positive,0.0,False,0
430,Malic acid,+K,36.95955,0.9616050896415264,DHB,positive,0.0,True,0
435,Malic acid,+Na,-0.008899437,0.0061678046235247,MAPS,positive,0.0,False,0
451,Malic acid,+H,-0.0177481,0.0061678046235247,MAPS,positive,0.0,False,0
452,Malic acid,+K,-0.006043202,0.0061678046235247,MAPS,positive,0.0,False,0
455,Malic acid,[M]+,-0.028083298,0.0061678046235247,MAPS,positive,0.0,False,0
468,Malic acid,+Na,58.768627,0.02050461710728,NEDC,positive,0.0,False,0
470,Malic acid,+K,16.264452,0.0176794511843076,NEDC,positive,0.0,False,0
474,Malic acid,[M]+,-0.022610964,0.0061678046235247,NEDC,positive,0.0,False,0
479,Malic acid,+H,-0.012220226,0.0061678046235247,NEDC,positive,0.0,False,0
503,Malic acid,+Na,163.62169,0.9885461133038104,NOR,positive,0.0,True,0
509,Malic acid,+H,-0.05374458,0.0061678046235247,NOR,positive,0.0,False,0
519,Malic acid,[M]+,-0.009540138,0.0061678046235247,NOR,positive,0.0,False,0
530,Malic acid,+K,2.4762092,0.0059453937285802,NOR,positive,0.0,False,0
560,Malic acid,+Na,194.8881,0.9906534930694574,CMBT,positive,0.0,True,0
569,Malic acid,+K,7.518794,0.0218132610586197,CMBT,positive,0.0,False,0
585,Malic acid,[M]+,-0.024702217,0.0061678046235247,CMBT,positive,0.0,False,0
588,Malic acid,+H,-0.018516293,0.0061678046235247,CMBT,positive,0.0,False,0
592,Malic acid,-H,6104.719,0.8650733172013451,CMBT,negative,0.0,True,0
604,Malic acid,[M]-,-0.017950986,0.0061678046235247,CMBT,negative,0.0,False,0
605,Malic acid,+Cl,-0.01823252,0.0061678046235247,CMBT,negative,0.0,False,0
618,Malic acid,[M]+,17.49295,0.0100636820051831,pNA,positive,0.0,False,1
621,Malic acid,+Na,374.354,0.9964643276938254,pNA,positive,0.0,True,0
640,Malic acid,+H,-0.07369114,0.0061678046235247,pNA,positive,0.0,False,0
647,Malic acid,+K,36.813076,0.81,pNA,positive,0.0,True,0
649,Malic acid,-H,8861.389,0.9987827363761304,pNA,negative,0.0,True,0
658,Malic acid,+Cl,-0.012226521,0.0061678046235247,pNA,negative,0.0,False,0
664,Malic acid,[M]-,-0.055676702,0.0061678046235247,pNA,negative,0.0,False,0
675,Oxalacetic acid,+Cl,0.0,0.0061678046235247,9AA,negative,0.0,False,0
679,Oxalacetic acid,-H,449.9228,0.2442075732597496,9AA,negative,0.0,False,1
683,Oxalacetic acid,[M]-,-0.008343891,0.0061678046235247,9AA,negative,0.0,False,0
698,Oxalacetic acid,+Cl,-0.20481813,0.0061678046235247,CHCA,negative,0.0,False,0
706,Oxalacetic acid,[M]-,-0.070412904,0.0061678046235247,CHCA,negative,0.0,False,0
712,Oxalacetic acid,-H,36.939205,0.81,CHCA,negative,0.0,True,0
722,Oxalacetic acid,-H,-0.04812067,0.0061678046235247,ClCCA,negative,0.0,False,0
725,Oxalacetic acid,[M]-,-0.019376326,0.0061678046235247,ClCCA,negative,0.0,False,0
727,Oxalacetic acid,+Cl,-0.010997447,0.0061678046235247,ClCCA,negative,0.0,False,0
744,Oxalacetic acid,+Cl,0.0,0.0061678046235247,DAN,negative,0.0,False,0
749,Oxalacetic acid,-H,10.472965,0.0068755746776266,DAN,negative,0.0,False,0
761,Oxalacetic acid,[M]-,-0.028269317,0.0061678046235247,DAN,negative,0.0,False,0
773,Oxalacetic acid,-H,-0.46530795,0.0052086635335818,DHAP,negative,0.0,False,0
777,Oxalacetic acid,+Cl,-0.007942231,0.0061678046235247,DHAP,negative,0.0,False,0
779,Oxalacetic acid,[M]-,-0.015067201,0.0061678046235247,DHAP,negative,0.0,False,0
792,Oxalacetic acid,+Cl,22.366047,0.0074754938604381,DHB,negative,0.0,False,0
802,Oxalacetic acid,-H,7.132555,0.0034100076087681,DHB,negative,0.0,False,0
808,Oxalacetic acid,[M]-,-0.0076148375,0.0061678046235247,DHB,negative,0.0,False,0
819,Oxalacetic acid,[M]-,-0.02910287,0.0061678046235247,MAPS,negative,0.0,False,0
823,Oxalacetic acid,-H,-0.19063379,0.0061678046235247,MAPS,negative,0.0,False,0
827,Oxalacetic acid,+Cl,-0.005610219,0.0061678046235247,MAPS,negative,0.0,False,0
841,Oxalacetic acid,-H,-0.013642794,0.0061678046235247,NEDC,negative,0.0,False,0
844,Oxalacetic acid,+Cl,-0.012121486,0.0061678046235247,NEDC,negative,0.0,False,0
846,Oxalacetic acid,[M]-,-0.014509829,0.0061678046235247,NEDC,negative,0.0,False,0
860,Oxalacetic acid,+Cl,0.0,0.0061678046235247,NOR,negative,0.0,False,0
866,Oxalacetic acid,-H,9.256922,0.0035740198611806,NOR,negative,0.0,False,0
877,Oxalacetic acid,[M]-,-0.019679097,0.0061678046235247,NOR,negative,0.0,False,0
918,Oxalacetic acid,[M]+,-0.010246569,0.0061678046235247,9AA,positive,0.0,False,0
919,Oxalacetic acid,+K,0.0,0.0061678046235247,9AA,positive,0.0,False,0
920,Oxalacetic acid,+Na,-0.027381204,0.0061678046235247,9AA,positive,0.0,False,0
927,Oxalacetic acid,+H,-0.012132241,0.0061678046235247,9AA,positive,0.0,False,0
938,Oxalacetic acid,+H,-0.080650754,0.0061678046235247,CHCA,positive,0.0,False,0
947,Oxalacetic acid,[M]+,2.412553,0.0016879371113995,CHCA,positive,0.0,False,0
951,Oxalacetic acid,+Na,-0.08318376,0.0061678046235247,CHCA,positive,0.0,False,0
957,Oxalacetic acid,+K,-0.012846727,0.0061678046235247,CHCA,positive,0.0,False,0
971,Oxalacetic acid,+Na,-0.022550685,0.0061678046235247,ClCCA,positive,0.0,False,0
982,Oxalacetic acid,+K,-0.002743408,0.0061678046235247,ClCCA,positive,0.0,False,0
989,Oxalacetic acid,+H,-0.012374307,0.0061678046235247,ClCCA,positive,0.0,False,0
990,Oxalacetic acid,[M]+,-0.019832987,0.0061678046235247,ClCCA,positive,0.0,False,0
999,Oxalacetic acid,+Na,1.2939311,0.0044557208711997,DAN,positive,0.0,False,0
1000,Oxalacetic acid,[M]+,-0.013620071,0.0061678046235247,DAN,positive,0.0,False,0
1017,Oxalacetic acid,+H,-0.013076635,0.0061678046235247,DAN,positive,0.0,False,0
1036,Oxalacetic acid,+H,-0.018592691,0.0061678046235247,DHAP,positive,0.0,False,0
1041,Oxalacetic acid,[M]+,-0.010689342,0.0061678046235247,DHAP,positive,0.0,False,0
1042,Oxalacetic acid,+K,-0.010350505,0.0061678046235247,DHAP,positive,0.0,False,0
1043,Oxalacetic acid,+Na,-0.017046656,0.0061678046235247,DHAP,positive,0.0,False,0
1080,Oxalacetic acid,+Na,0.0,0.0061678046235247,DHB,positive,0.0,False,0
1088,Oxalacetic acid,+H,-0.04037413,0.0061678046235247,DHB,positive,0.0,False,0
1089,Oxalacetic acid,+K,-0.0037832516,0.0061678046235247,DHB,positive,0.0,False,0
1090,Oxalacetic acid,[M]+,-0.03647312,0.0061678046235247,DHB,positive,0.0,False,0
1100,Oxalacetic acid,[M]+,-0.003331089,0.0061678046235247,MAPS,positive,0.0,False,0
1101,Oxalacetic acid,+K,-0.021686396,0.0061678046235247,MAPS,positive,0.0,False,0
1102,Oxalacetic acid,+Na,-0.011865649,0.0061678046235247,MAPS,positive,0.0,False,0
1103,Oxalacetic acid,+H,-0.030972943,0.0061678046235247,MAPS,positive,0.0,False,0
1137,Oxalacetic acid,+H,-0.010253185,0.0061678046235247,NEDC,positive,0.0,False,0
1140,Oxalacetic acid,+Na,-0.00879349,0.0061678046235247,NEDC,positive,0.0,False,0
1151,Oxalacetic acid,[M]+,-0.01071912,0.0061678046235247,NEDC,positive,0.0,False,0
1161,Oxalacetic acid,+K,-0.018057793,0.0061678046235247,NEDC,positive,0.0,False,0
1184,Oxalacetic acid,[M]+,-0.0050627952,0.0061678046235247,NOR,positive,0.0,False,0
1185,Oxalacetic acid,+Na,-0.011160237,0.0061678046235247,NOR,positive,0.0,False,0
1192,Oxalacetic acid,+H,-0.015990835,0.0061678046235247,NOR,positive,0.0,False,0
1226,Oxalacetic acid,+Na,-0.6020937,0.0061290155410719,CMBT,positive,0.0,False,0
1234,Oxalacetic acid,[M]+,-0.012789013,0.0061678046235247,CMBT,positive,0.0,False,0
1239,Oxalacetic acid,+H,-0.01526955,0.0061678046235247,CMBT,positive,0.0,False,0
1244,Oxalacetic acid,+K,0.5683105,0.0044338370217776,CMBT,positive,0.0,False,0
1268,Oxalacetic acid,[M]-,-0.0028153642,0.0061678046235247,CMBT,negative,0.0,False,0
1269,Oxalacetic acid,+Cl,-0.017810926,0.0061678046235247,CMBT,negative,0.0,False,0
1275,Oxalacetic acid,-H,-0.027834661,0.0061678046235247,CMBT,negative,0.0,False,0
1281,Oxalacetic acid,+Na,-0.018780708,0.0061678046235247,pNA,positive,0.0,False,0
1284,Oxalacetic acid,+H,-0.06971874,0.0061678046235247,pNA,positive,0.0,False,0
1285,Oxalacetic acid,+K,-0.02702185,0.0061678046235247,pNA,positive,0.0,False,0
1290,Oxalacetic acid,[M]+,-0.016489537,0.0061678046235247,pNA,positive,0.0,False,0
1314,Oxalacetic acid,+Cl,0.0,0.0061678046235247,pNA,negative,0.0,False,0
1319,Oxalacetic acid,[M]-,-0.020345999,0.0061678046235247,pNA,negative,0.0,False,0
1323,Oxalacetic acid,-H,2.9412954,0.0031942516402698,pNA,negative,0.0,False,0
1332,Taurine,-H,208896.88,0.9996335083702242,9AA,negative,0.0,True,0
1336,Taurine,+Cl,20.201468,0.9733778883101122,9AA,negative,0.0,True,0
1356,Taurine,[M]-,-0.08677164,0.0061678046235247,9AA,negative,0.0,False,0
1357,Taurine,-H,8397.929,0.9995719966316406,CHCA,negative,0.0,True,0
1363,Taurine,[M]-,-0.069931,0.0061678046235247,CHCA,negative,0.0,False,0
1379,Taurine,+Cl,-0.006038351,0.0061678046235247,CHCA,negative,0.0,False,0
1382,Taurine,-H,105.2851,0.9970325636498728,ClCCA,negative,0.0,True,0
1385,Taurine,+Cl,-0.009283845,0.0061678046235247,ClCCA,negative,0.0,False,0
1406,Taurine,[M]-,-0.031561587,0.0061678046235247,ClCCA,negative,0.0,False,0
1407,Taurine,-H,12207.921,0.9988458471183356,DAN,negative,0.0,True,0
1419,Taurine,[M]-,-0.12918688,0.0061678046235247,DAN,negative,0.0,False,0
1423,Taurine,+Cl,6.0294294,0.81,DAN,negative,0.0,True,0
1435,Taurine,-H,2252.1897,0.9990610955033488,DHAP,negative,0.0,True,0
1454,Taurine,[M]-,1.3697975,0.0017996412859711,DHAP,negative,0.0,False,0
1458,Taurine,+Cl,-0.008807316,0.0061678046235247,DHAP,negative,0.0,False,0
1460,Taurine,-H,822.2232,0.9989816633485828,DHB,negative,0.0,True,0
1477,Taurine,+Cl,0.0,0.0061678046235247,DHB,negative,0.0,False,0
1478,Taurine,[M]-,-0.11716036,0.0061678046235247,DHB,negative,0.0,False,0
1483,Taurine,-H,156.20905,0.2050302538313227,MAPS,negative,0.0,False,0
1490,Taurine,[M]-,-0.005500014,0.0061678046235247,MAPS,negative,0.0,False,0
1506,Taurine,+Cl,-0.009319072,0.0061678046235247,MAPS,negative,0.0,False,0
1508,Taurine,[M]-,-0.020279815,0.0061678046235247,NEDC,negative,0.0,False,0
1509,Taurine,-H,32.144096,0.0434370766190569,NEDC,negative,0.0,False,0
1522,Taurine,+Cl,1.4620662,0.002907199481878,NEDC,negative,0.0,False,0
1531,Taurine,-H,7462.7876,0.99870380061626,NOR,negative,0.0,True,0
1542,Taurine,[M]-,-0.7296922,0.0061678046235247,NOR,negative,0.0,False,0
1544,Taurine,+Cl,-0.0074323085,0.0061678046235247,NOR,negative,0.0,False,0
1580,Taurine,+Na,-0.015791886,0.0061678046235247,9AA,positive,0.0,False,0
1601,Taurine,+H,-0.021012118,0.0061678046235247,9AA,positive,0.0,False,0
1602,Taurine,[M]+,-0.0053620636,0.0061678046235247,9AA,positive,0.0,False,0
1603,Taurine,+K,0.0,0.0061678046235247,9AA,positive,0.0,False,0
1611,Taurine,+Na,3972.7842,0.9996256206714652,CHCA,positive,0.0,True,0
1612,Taurine,+H,3113.1843,0.9995645669872304,CHCA,positive,0.0,True,0
1613,Taurine,+K,1415.6859,0.9994216784005272,CHCA,positive,0.0,True,0
1619,Taurine,[M]+,0.0,0.0061678046235247,CHCA,positive,0.0,False,0
1645,Taurine,+Na,215.61198,0.9984185781096984,ClCCA,positive,0.0,True,0
1646,Taurine,+H,157.44615,0.9980970441577574,ClCCA,positive,0.0,True,0
1647,Taurine,+K,125.32934,0.997701251053158,ClCCA,positive,0.0,True,0
1655,Taurine,[M]+,-0.004595853,0.0061678046235247,ClCCA,positive,0.0,False,0
1679,Taurine,+Na,652.2207,0.996686994984396,DAN,positive,0.0,True,0
1690,Taurine,+K,47.60599,0.0459870382533325,DAN,positive,0.0,False,0
1698,Taurine,+H,-0.016363664,0.0061678046235247,DAN,positive,0.0,False,0
1703,Taurine,[M]+,-0.029189108,0.0061678046235247,DAN,positive,0.0,False,0
1716,Taurine,+Na,211.04749,0.9981840679338368,DHAP,positive,0.0,True,0
1717,Taurine,+H,27.582552,0.9809585479746792,DHAP,positive,0.0,True,0
1734,Taurine,[M]+,-0.015544054,0.0061678046235247,DHAP,positive,0.0,False,0
1735,Taurine,+K,29.024014,0.9796643523647168,DHAP,positive,0.0,True,0
1750,Taurine,+Na,701.09534,0.9989558774165708,DHB,positive,0.0,True,0
1751,Taurine,+H,213.33081,0.9956238733037036,DHB,positive,0.0,True,0
1773,Taurine,+K,57.634804,0.9822141771868568,DHB,positive,0.0,True,0
1774,Taurine,[M]+,-0.0035575163,0.0061678046235247,DHB,positive,0.0,False,0
1791,Taurine,+H,-0.014526711,0.0061678046235247,MAPS,positive,0.0,False,0
1795,Taurine,+K,-0.008871548,0.0061678046235247,MAPS,positive,0.0,False,0
1813,Taurine,[M]+,-0.011966819,0.0061678046235247,MAPS,positive,0.0,False,0
1814,Taurine,+Na,-0.027525675,0.0061678046235247,MAPS,positive,0.0,False,0
1833,Taurine,+H,-0.010919057,0.0061678046235247,NEDC,positive,0.0,False,0
1844,Taurine,+K,-0.013957721,0.0061678046235247,NEDC,positive,0.0,False,0
1845,Taurine,+Na,-0.010758167,0.0061678046235247,NEDC,positive,0.0,False,0
1855,Taurine,[M]+,-0.020657776,0.0061678046235247,NEDC,positive,0.0,False,0
1858,Taurine,+H,-0.019520003,0.0061678046235247,NOR,positive,0.0,False,0
1868,Taurine,[M]+,-0.025240673,0.0061678046235247,NOR,positive,0.0,False,0
1869,Taurine,+Na,2.64595,0.0025247112182977,NOR,positive,0.0,False,0
1882,Taurine,+K,-0.08533764,0.0061678046235247,NOR,positive,0.0,False,0
1922,Taurine,[M]+,-0.013645193,0.0061678046235247,CMBT,positive,0.0,False,0
1923,Taurine,+Na,45.11592,0.8682829027515824,CMBT,positive,0.0,True,0
1948,Taurine,+K,5.9162955,0.014729459118328,CMBT,positive,0.0,False,0
1950,Taurine,+H,-0.018394465,0.0061678046235247,CMBT,positive,0.0,False,0
1953,Taurine,-H,341.20837,0.9976837506532036,CMBT,negative,0.0,True,0
1956,Taurine,[M]-,-0.0065528713,0.0061678046235247,CMBT,negative,0.0,False,0
1973,Taurine,+Cl,3.3479486,0.0058435732681165,CMBT,negative,0.0,False,0
1978,Taurine,+Na,598.00415,0.9990100067980444,pNA,positive,0.0,True,0
1979,Taurine,[M]+,-0.002800291,0.0061678046235247,pNA,positive,0.0,False,0
1991,Taurine,+H,4.694369,0.0060157640859165,pNA,positive,0.0,False,0
1998,Taurine,+K,60.06713,0.988402926344298,pNA,positive,0.0,True,0
2011,Taurine,-H,5874.721,0.9995246113934446,pNA,negative,0.0,True,0
2025,Taurine,[M]-,-0.035107847,0.0061678046235247,pNA,negative,0.0,False,0
2029,Taurine,+Cl,-0.008922891,0.0061678046235247,pNA,negative,0.0,False,0
2035,N-Acetylaspartic acid,-H,278552.0,0.9996264367121388,9AA,negative,0.0,True,0
2044,N-Acetylaspartic acid,+Cl,2.1747913,0.0021399679477012,9AA,negative,0.0,False,0
2051,N-Acetylaspartic acid,[M]-,13.3943615,0.1589071058957196,9AA,negative,0.0,False,0
2062,N-Acetylaspartic acid,-H,7086.804,0.9995780006463948,CHCA,negative,0.0,True,0
2064,N-Acetylaspartic acid,[M]-,-2.6291504,0.0061678046235247,CHCA,negative,0.0,False,0
2068,N-Acetylaspartic acid,+Cl,-271.56055,0.0095690241921859,CHCA,negative,0.0,False,0
2089,N-Acetylaspartic acid,-H,464.10037,0.9984642335944824,ClCCA,negative,0.0,True,0
2091,N-Acetylaspartic acid,+Cl,0.62677765,0.0038295259785609,ClCCA,negative,0.0,False,0
2111,N-Acetylaspartic acid,[M]-,-0.013399424,0.0061678046235247,ClCCA,negative,0.0,False,0
2116,N-Acetylaspartic acid,-H,45739.227,0.9987064261566224,DAN,negative,0.0,True,0
2127,N-Acetylaspartic acid,+Cl,-1.0277357,0.0067895417866154,DAN,negative,0.0,False,0
2140,N-Acetylaspartic acid,[M]-,-0.06370638,0.0061678046235247,DAN,negative,0.0,False,0
2146,N-Acetylaspartic acid,-H,1396.3196,0.9983030209973212,DHAP,negative,0.0,True,0
2165,N-Acetylaspartic acid,+Cl,-0.07762809,0.0061678046235247,DHAP,negative,0.0,False,0
2166,N-Acetylaspartic acid,[M]-,-0.00296463,0.0061678046235247,DHAP,negative,0.0,False,0
2173,N-Acetylaspartic acid,-H,2331.2686,0.9991173541900058,DHB,negative,0.0,True,0
2182,N-Acetylaspartic acid,+Cl,-0.27413148,0.0061678046235247,DHB,negative,0.0,False,0
2218,N-Acetylaspartic acid,+Cl,-0.17496121,0.0061678046235247,MAPS,negative,0.0,False,0
2220,N-Acetylaspartic acid,[M]-,-0.014381244,0.0061678046235247,MAPS,negative,0.0,False,0
2221,N-Acetylaspartic acid,-H,3002.9966,0.81,MAPS,negative,0.0,True,0
2240,N-Acetylaspartic acid,-H,90.412575,0.7663790477648594,NEDC,negative,0.0,False,0
2244,N-Acetylaspartic acid,+Cl,1.3316697,0.0015175640453753,NEDC,negative,0.0,False,0
2248,N-Acetylaspartic acid,[M]-,-0.0027875146,0.0061678046235247,NEDC,negative,0.0,False,0
2253,N-Acetylaspartic acid,-H,26003.5,0.9985889475589474,NOR,negative,0.0,True,0
2258,N-Acetylaspartic acid,+Cl,-59.319977,0.017663716047657,NOR,negative,0.0,False,0
2325,N-Acetylaspartic acid,+H,-0.03530613,0.0061678046235247,9AA,positive,0.0,False,0
2329,N-Acetylaspartic acid,+Na,5.868932,0.0015284879985307,9AA,positive,0.0,False,0
2330,N-Acetylaspartic acid,[M]+,-0.03711026,0.0061678046235247,9AA,positive,0.0,False,0
2334,N-Acetylaspartic acid,+K,3729.8489,0.9996566615087158,CHCA,positive,0.0,True,0
2336,N-Acetylaspartic acid,+H,4490.096,0.9996741103600878,CHCA,positive,0.0,True,0
2337,N-Acetylaspartic acid,+Na,3600.1482,0.999650906727456,CHCA,positive,0.0,True,0
2359,N-Acetylaspartic acid,[M]+,-0.15157738,0.0061678046235247,CHCA,positive,0.0,False,0
2370,N-Acetylaspartic acid,+Na,1270.0852,0.9996582876974048,ClCCA,positive,0.0,True,0
2372,N-Acetylaspartic acid,+H,520.97107,0.9992787156365708,ClCCA,positive,0.0,True,0
2374,N-Acetylaspartic acid,+K,227.0156,0.9987339003160975,ClCCA,positive,0.0,True,0
2390,N-Acetylaspartic acid,[M]+,-0.018635025,0.0061678046235247,ClCCA,positive,0.0,False,0
2408,N-Acetylaspartic acid,+Na,800.63153,0.9927578848015648,DAN,positive,0.0,True,0
2424,N-Acetylaspartic acid,+H,3.1093376,0.0080685951399138,DAN,positive,0.0,False,0
2429,N-Acetylaspartic acid,+K,40.952385,0.81,DAN,positive,0.0,True,0
2436,N-Acetylaspartic acid,[M]+,0.0,0.0061678046235247,DAN,positive,0.0,False,0
2444,N-Acetylaspartic acid,+Na,157.60135,0.9974692637770496,DHAP,positive,0.0,True,0
2450,N-Acetylaspartic acid,[M]+,-0.013454817,0.0061678046235247,DHAP,positive,0.0,False,0
2466,N-Acetylaspartic acid,+K,25.022034,0.8002332712034992,DHAP,positive,0.0,True,0
2469,N-Acetylaspartic acid,+H,23.066303,0.81,DHAP,positive,0.0,True,0
2479,N-Acetylaspartic acid,+Na,3460.044,0.9995122476891268,DHB,positive,0.0,True,0
2482,N-Acetylaspartic acid,+H,855.54376,0.9991468289444182,DHB,positive,0.0,True,0
2483,N-Acetylaspartic acid,+K,311.5246,0.9968517780622552,DHB,positive,0.0,True,0
2511,N-Acetylaspartic acid,[M]+,-0.0450171,0.0061678046235247,DHB,positive,0.0,False,0
2518,N-Acetylaspartic acid,[M]+,-0.024719942,0.0061678046235247,MAPS,positive,0.0,False,0
2527,N-Acetylaspartic acid,+Na,-0.009536321,0.0061678046235247,MAPS,positive,0.0,False,0
2528,N-Acetylaspartic acid,+K,-0.017775454,0.0061678046235247,MAPS,positive,0.0,False,0
2538,N-Acetylaspartic acid,+H,-0.025066623,0.0061678046235247,MAPS,positive,0.0,False,0
2554,N-Acetylaspartic acid,+K,-0.002897378,0.0061678046235247,NEDC,positive,0.0,False,0
2569,N-Acetylaspartic acid,[M]+,-0.024936503,0.0061678046235247,NEDC,positive,0.0,False,0
2570,N-Acetylaspartic acid,+Na,3.457537,0.0034692039603088,NEDC,positive,0.0,False,0
2581,N-Acetylaspartic acid,+H,-0.011530797,0.0061678046235247,NEDC,positive,0.0,False,0
2602,N-Acetylaspartic acid,[M]+,-0.018439153,0.0061678046235247,NOR,positive,0.0,False,0
2603,N-Acetylaspartic acid,+K,0.0,0.0061678046235247,NOR,positive,0.0,False,0
2617,N-Acetylaspartic acid,+Na,3.1133244,0.0034518357588117,NOR,positive,0.0,False,0
2655,N-Acetylaspartic acid,+Na,460.0071,0.919077401462837,CMBT,positive,0.0,True,0
2662,N-Acetylaspartic acid,+H,50.635952,0.81,CMBT,positive,0.0,True,0
2680,N-Acetylaspartic acid,[M]+,-0.02979423,0.0061678046235247,CMBT,positive,0.0,False,0
2686,N-Acetylaspartic acid,+K,17.657492,0.3778035016685093,CMBT,positive,0.0,False,0
2689,N-Acetylaspartic acid,-H,1614.5999,0.9989694952760628,CMBT,negative,0.0,True,0
2692,N-Acetylaspartic acid,+Cl,4.3985953,0.0022247669735616,CMBT,negative,0.0,False,0
2694,N-Acetylaspartic acid,[M]-,-0.0070038517,0.0061678046235247,CMBT,negative,0.0,False,0
2716,N-Acetylaspartic acid,+Na,3562.6047,0.9987404704239018,pNA,positive,0.0,True,0
2719,N-Acetylaspartic acid,+K,587.27515,0.9979832689665412,pNA,positive,0.0,True,0
2720,N-Acetylaspartic acid,+H,443.86722,0.9976455754401246,pNA,positive,0.0,True,0
2722,N-Acetylaspartic acid,[M]+,-2.7706757,0.0088072165075283,pNA,positive,0.0,False,0
2752,N-Acetylaspartic acid,-H,37246.99,0.9983340983967844,pNA,negative,0.0,True,0
2755,N-Acetylaspartic acid,+Cl,4.3811297,0.0021113430441452,pNA,negative,0.0,False,0
2767,N-Acetylaspartic acid,[M]-,-0.028451853,0.0061678046235247,pNA,negative,0.0,False,0
2780,Ascorbic acid,-H,9525.733,0.9937969805326796,9AA,negative,0.0,True,0
