,observed_value,prediction,classifier,name_short,matrix,polarity,fold
48,2,4,SVC_poly,Dihydroxyacetone phosphate,9AA,negative,1
49,2,4,SVC_poly,Gluconic acid,9AA,negative,1
50,0,1,SVC_poly,Glucosamine,9AA,negative,1
51,0,0,KNeighbors,Acetoacetic acid,9AA,negative,1
52,3,3,KNeighbors,Acetyl-CoA,9AA,negative,1
53,4,4,KNeighbors,Adenosine monophosphate,9AA,negative,1
54,1,0,KNeighbors,Ascorbic acid,9AA,negative,1
55,1,1,KNeighbors,Asparagine,9AA,negative,1
56,0,0,KNeighbors,Butyric acid,9AA,negative,1
57,0,0,KNeighbors,CAR 16:0,9AA,negative,1
58,1,4,KNeighbors,Cardiolipin 18:1,9AA,negative,1
59,3,1,KNeighbors,Carnosine,9AA,negative,1
60,1,0,KNeighbors,Cer d8:1/22:0 Cer,9AA,negative,1
61,0,0,KNeighbors,Cholecalciferol,9AA,negative,1
62,2,1,KNeighbors,Cholic acid,9AA,negative,1
63,3,3,KNeighbors,Citric acid,9AA,negative,1
64,1,1,KNeighbors,Citrulline,9AA,negative,1
65,2,0,KNeighbors,Dihydroxyacetone phosphate,9AA,negative,1
66,2,0,KNeighbors,Gluconic acid,9AA,negative,1
67,0,1,KNeighbors,Glucosamine,9AA,negative,1
68,0,0,DecisionTree,Acetoacetic acid,9AA,negative,1
69,3,3,DecisionTree,Acetyl-CoA,9AA,negative,1
70,4,0,DecisionTree,Adenosine monophosphate,9AA,negative,1
71,1,0,DecisionTree,Ascorbic acid,9AA,negative,1
72,1,1,DecisionTree,Asparagine,9AA,negative,1
73,0,0,DecisionTree,Butyric acid,9AA,negative,1
74,0,0,DecisionTree,CAR 16:0,9AA,negative,1
75,1,4,DecisionTree,Cardiolipin 18:1,9AA,negative,1
76,3,1,DecisionTree,Carnosine,9AA,negative,1
77,1,0,DecisionTree,Cer d8:1/22:0 Cer,9AA,negative,1
78,0,0,DecisionTree,Cholecalciferol,9AA,negative,1
79,2,0,DecisionTree,Cholic acid,9AA,negative,1
80,3,3,DecisionTree,Citric acid,9AA,negative,1
81,1,1,DecisionTree,Citrulline,9AA,negative,1
82,2,0,DecisionTree,Dihydroxyacetone phosphate,9AA,negative,1
83,2,0,DecisionTree,Gluconic acid,9AA,negative,1
84,0,1,DecisionTree,Glucosamine,9AA,negative,1
85,0,0,RandomForest,Acetoacetic acid,9AA,negative,1
86,3,3,RandomForest,Acetyl-CoA,9AA,negative,1
87,4,0,RandomForest,Adenosine monophosphate,9AA,negative,1
88,1,2,RandomForest,Ascorbic acid,9AA,negative,1
89,1,1,RandomForest,Asparagine,9AA,negative,1
90,0,0,RandomForest,Butyric acid,9AA,negative,1
91,0,0,RandomForest,CAR 16:0,9AA,negative,1
92,1,4,RandomForest,Cardiolipin 18:1,9AA,negative,1
93,3,1,RandomForest,Carnosine,9AA,negative,1
94,1,0,RandomForest,Cer d8:1/22:0 Cer,9AA,negative,1
95,0,0,RandomForest,Cholecalciferol,9AA,negative,1
96,2,0,RandomForest,Cholic acid,9AA,negative,1
97,3,3,RandomForest,Citric acid,9AA,negative,1
98,1,1,RandomForest,Citrulline,9AA,negative,1
99,2,3,RandomForest,Dihydroxyacetone phosphate,9AA,negative,1
100,2,2,RandomForest,Gluconic acid,9AA,negative,1
101,0,1,RandomForest,Glucosamine,9AA,negative,1
102,0,2,MLP,Acetoacetic acid,9AA,negative,1
103,3,0,MLP,Acetyl-CoA,9AA,negative,1
104,4,0,MLP,Adenosine monophosphate,9AA,negative,1
105,1,4,MLP,Ascorbic acid,9AA,negative,1
106,1,1,MLP,Asparagine,9AA,negative,1
107,0,4,MLP,Butyric acid,9AA,negative,1
108,0,0,MLP,CAR 16:0,9AA,negative,1
109,1,4,MLP,Cardiolipin 18:1,9AA,negative,1
110,3,1,MLP,Carnosine,9AA,negative,1
111,1,4,MLP,Cer d8:1/22:0 Cer,9AA,negative,1
112,0,4,MLP,Cholecalciferol,9AA,negative,1
113,2,4,MLP,Cholic acid,9AA,negative,1
114,3,4,MLP,Citric acid,9AA,negative,1
115,1,1,MLP,Citrulline,9AA,negative,1
116,2,4,MLP,Dihydroxyacetone phosphate,9AA,negative,1
117,2,4,MLP,Gluconic acid,9AA,negative,1
118,0,1,MLP,Glucosamine,9AA,negative,1
0,0,0,Logistic_reg,Acetylcholine,9AA,negative,2
1,0,0,Logistic_reg,Cholesterol,9AA,negative,2
2,1,1,Logistic_reg,Coenzyme A,9AA,negative,2
3,1,1,Logistic_reg,Creatine,9AA,negative,2
4,1,1,Logistic_reg,Creatinine,9AA,negative,2
5,0,1,Logistic_reg,Cyclic adenosine monophosphate,9AA,negative,2
6,1,1,Logistic_reg,Cysteine,9AA,negative,2
7,1,1,Logistic_reg,Cystine,9AA,negative,2
8,3,1,Logistic_reg,Flavin adenine dinucleotide,9AA,negative,2
9,3,0,Logistic_reg,Flavin mononucleotide,9AA,negative,2
10,4,0,Logistic_reg,"Fructose 1,6-bisphosphate",9AA,negative,2
11,0,3,Logistic_reg,Fumaric acid,9AA,negative,2
12,3,1,Logistic_reg,Glucosamine 6-phosphate,9AA,negative,2
13,2,1,Logistic_reg,Glutamic acid,9AA,negative,2
14,2,0,Logistic_reg,Glycerol 3-phosphate,9AA,negative,2
15,2,0,Logistic_reg,Kynurenic acid,9AA,negative,2
16,4,0,Logistic_reg,Lyso PG 16:0,9AA,negative,2
17,0,0,SVC_rbf,Acetylcholine,9AA,negative,2
18,0,0,SVC_rbf,Cholesterol,9AA,negative,2
19,1,4,SVC_rbf,Coenzyme A,9AA,negative,2
20,1,1,SVC_rbf,Creatine,9AA,negative,2
21,1,4,SVC_rbf,Creatinine,9AA,negative,2
22,0,4,SVC_rbf,Cyclic adenosine monophosphate,9AA,negative,2
23,1,1,SVC_rbf,Cysteine,9AA,negative,2
24,1,1,SVC_rbf,Cystine,9AA,negative,2
25,3,4,SVC_rbf,Flavin adenine dinucleotide,9AA,negative,2
26,3,0,SVC_rbf,Flavin mononucleotide,9AA,negative,2
27,4,3,SVC_rbf,"Fructose 1,6-bisphosphate",9AA,negative,2
28,0,4,SVC_rbf,Fumaric acid,9AA,negative,2
29,3,1,SVC_rbf,Glucosamine 6-phosphate,9AA,negative,2
30,2,1,SVC_rbf,Glutamic acid,9AA,negative,2
31,2,4,SVC_rbf,Glycerol 3-phosphate,9AA,negative,2
32,2,3,SVC_rbf,Kynurenic acid,9AA,negative,2
33,4,4,SVC_rbf,Lyso PG 16:0,9AA,negative,2
34,0,0,SVC_poly,Acetylcholine,9AA,negative,2
35,0,4,SVC_poly,Cholesterol,9AA,negative,2
36,1,3,SVC_poly,Coenzyme A,9AA,negative,2
37,1,1,SVC_poly,Creatine,9AA,negative,2
38,1,3,SVC_poly,Creatinine,9AA,negative,2
39,0,3,SVC_poly,Cyclic adenosine monophosphate,9AA,negative,2
40,1,1,SVC_poly,Cysteine,9AA,negative,2
41,1,1,SVC_poly,Cystine,9AA,negative,2
42,3,3,SVC_poly,Flavin adenine dinucleotide,9AA,negative,2
43,3,4,SVC_poly,Flavin mononucleotide,9AA,negative,2
44,4,3,SVC_poly,"Fructose 1,6-bisphosphate",9AA,negative,2
45,0,4,SVC_poly,Fumaric acid,9AA,negative,2
46,3,1,SVC_poly,Glucosamine 6-phosphate,9AA,negative,2
47,2,1,SVC_poly,Glutamic acid,9AA,negative,2
48,2,4,SVC_poly,Glycerol 3-phosphate,9AA,negative,2
49,2,3,SVC_poly,Kynurenic acid,9AA,negative,2
50,4,4,SVC_poly,Lyso PG 16:0,9AA,negative,2
51,0,0,KNeighbors,Acetylcholine,9AA,negative,2
52,0,0,KNeighbors,Cholesterol,9AA,negative,2
53,1,3,KNeighbors,Coenzyme A,9AA,negative,2
54,1,1,KNeighbors,Creatine,9AA,negative,2
55,1,1,KNeighbors,Creatinine,9AA,negative,2
56,0,4,KNeighbors,Cyclic adenosine monophosphate,9AA,negative,2
57,1,1,KNeighbors,Cysteine,9AA,negative,2
58,1,3,KNeighbors,Cystine,9AA,negative,2
59,3,3,KNeighbors,Flavin adenine dinucleotide,9AA,negative,2
60,3,2,KNeighbors,Flavin mononucleotide,9AA,negative,2
61,4,3,KNeighbors,"Fructose 1,6-bisphosphate",9AA,negative,2
62,0,0,KNeighbors,Fumaric acid,9AA,negative,2
63,3,1,KNeighbors,Glucosamine 6-phosphate,9AA,negative,2
64,2,0,KNeighbors,Glutamic acid,9AA,negative,2
65,2,0,KNeighbors,Glycerol 3-phosphate,9AA,negative,2
66,2,3,KNeighbors,Kynurenic acid,9AA,negative,2
67,4,0,KNeighbors,Lyso PG 16:0,9AA,negative,2
68,0,0,DecisionTree,Acetylcholine,9AA,negative,2
69,0,2,DecisionTree,Cholesterol,9AA,negative,2
70,1,3,DecisionTree,Coenzyme A,9AA,negative,2
71,1,1,DecisionTree,Creatine,9AA,negative,2
72,1,1,DecisionTree,Creatinine,9AA,negative,2
73,0,4,DecisionTree,Cyclic adenosine monophosphate,9AA,negative,2
74,1,1,DecisionTree,Cysteine,9AA,negative,2
75,1,3,DecisionTree,Cystine,9AA,negative,2
76,3,3,DecisionTree,Flavin adenine dinucleotide,9AA,negative,2
77,3,2,DecisionTree,Flavin mononucleotide,9AA,negative,2
78,4,3,DecisionTree,"Fructose 1,6-bisphosphate",9AA,negative,2
79,0,0,DecisionTree,Fumaric acid,9AA,negative,2
80,3,1,DecisionTree,Glucosamine 6-phosphate,9AA,negative,2
81,2,1,DecisionTree,Glutamic acid,9AA,negative,2
82,2,2,DecisionTree,Glycerol 3-phosphate,9AA,negative,2
83,2,3,DecisionTree,Kynurenic acid,9AA,negative,2
84,4,2,DecisionTree,Lyso PG 16:0,9AA,negative,2
85,0,0,RandomForest,Acetylcholine,9AA,negative,2
86,0,2,RandomForest,Cholesterol,9AA,negative,2
87,1,3,RandomForest,Coenzyme A,9AA,negative,2
88,1,1,RandomForest,Creatine,9AA,negative,2
89,1,3,RandomForest,Creatinine,9AA,negative,2
90,0,4,RandomForest,Cyclic adenosine monophosphate,9AA,negative,2
91,1,1,RandomForest,Cysteine,9AA,negative,2
92,1,3,RandomForest,Cystine,9AA,negative,2
93,3,3,RandomForest,Flavin adenine dinucleotide,9AA,negative,2
94,3,2,RandomForest,Flavin mononucleotide,9AA,negative,2
95,4,3,RandomForest,"Fructose 1,6-bisphosphate",9AA,negative,2
96,0,3,RandomForest,Fumaric acid,9AA,negative,2
97,3,1,RandomForest,Glucosamine 6-phosphate,9AA,negative,2
98,2,1,RandomForest,Glutamic acid,9AA,negative,2
99,2,2,RandomForest,Glycerol 3-phosphate,9AA,negative,2
100,2,3,RandomForest,Kynurenic acid,9AA,negative,2
101,4,2,RandomForest,Lyso PG 16:0,9AA,negative,2
102,0,2,MLP,Acetylcholine,9AA,negative,2
103,0,4,MLP,Cholesterol,9AA,negative,2
104,1,4,MLP,Coenzyme A,9AA,negative,2
105,1,1,MLP,Creatine,9AA,negative,2
106,1,1,MLP,Creatinine,9AA,negative,2
107,0,4,MLP,Cyclic adenosine monophosphate,9AA,negative,2
108,1,1,MLP,Cysteine,9AA,negative,2
109,1,1,MLP,Cystine,9AA,negative,2
110,3,4,MLP,Flavin adenine dinucleotide,9AA,negative,2
111,3,4,MLP,Flavin mononucleotide,9AA,negative,2
112,4,3,MLP,"Fructose 1,6-bisphosphate",9AA,negative,2
113,0,4,MLP,Fumaric acid,9AA,negative,2
114,3,1,MLP,Glucosamine 6-phosphate,9AA,negative,2
115,2,1,MLP,Glutamic acid,9AA,negative,2
116,2,4,MLP,Glycerol 3-phosphate,9AA,negative,2
117,2,3,MLP,Kynurenic acid,9AA,negative,2
118,4,4,MLP,Lyso PG 16:0,9AA,negative,2
0,0,0,Logistic_reg,Carnitine,9AA,negative,3
1,0,0,Logistic_reg,Cholesteryl acetate,9AA,negative,3
2,1,2,Logistic_reg,Cytidine,9AA,negative,3
3,1,2,Logistic_reg,Cytosine,9AA,negative,3
4,1,1,Logistic_reg,Dopamine,9AA,negative,3
5,1,1,Logistic_reg,Epinephrine,9AA,negative,3
6,0,1,Logistic_reg,Folic acid,9AA,negative,3
7,1,0,Logistic_reg,GM3 Ganglioside 18:0,9AA,negative,3
8,1,2,Logistic_reg,GlcCer d18:1/18:0,9AA,negative,3
9,3,0,Logistic_reg,Glucose 6-phosphate,9AA,negative,3
10,0,1,Logistic_reg,Glycine,9AA,negative,3
11,3,1,Logistic_reg,Lyso PE 18:0,9AA,negative,3
12,4,0,Logistic_reg,Lyso PI 17:1,9AA,negative,3
13,3,1,Logistic_reg,Lyso PS 17:1,9AA,negative,3
14,2,0,Logistic_reg,Mevalonic acid,9AA,negative,3
15,4,0,Logistic_reg,N-Acetylaspartic acid,9AA,negative,3
16,2,0,Logistic_reg,N-Acetylaspartylglutamic acid,9AA,negative,3
17,0,4,SVC_rbf,Carnitine,9AA,negative,3
18,0,0,SVC_rbf,Cholesteryl acetate,9AA,negative,3
19,1,4,SVC_rbf,Cytidine,9AA,negative,3
20,1,4,SVC_rbf,Cytosine,9AA,negative,3
21,1,1,SVC_rbf,Dopamine,9AA,negative,3
22,1,1,SVC_rbf,Epinephrine,9AA,negative,3
23,0,4,SVC_rbf,Folic acid,9AA,negative,3
24,1,4,SVC_rbf,GM3 Ganglioside 18:0,9AA,negative,3
25,1,4,SVC_rbf,GlcCer d18:1/18:0,9AA,negative,3
26,3,4,SVC_rbf,Glucose 6-phosphate,9AA,negative,3
27,0,1,SVC_rbf,Glycine,9AA,negative,3
28,3,1,SVC_rbf,Lyso PE 18:0,9AA,negative,3
29,4,4,SVC_rbf,Lyso PI 17:1,9AA,negative,3
30,3,1,SVC_rbf,Lyso PS 17:1,9AA,negative,3
31,2,0,SVC_rbf,Mevalonic acid,9AA,negative,3
32,4,0,SVC_rbf,N-Acetylaspartic acid,9AA,negative,3
33,2,0,SVC_rbf,N-Acetylaspartylglutamic acid,9AA,negative,3
34,0,4,SVC_poly,Carnitine,9AA,negative,3
35,0,0,SVC_poly,Cholesteryl acetate,9AA,negative,3
36,1,4,SVC_poly,Cytidine,9AA,negative,3
37,1,4,SVC_poly,Cytosine,9AA,negative,3
38,1,1,SVC_poly,Dopamine,9AA,negative,3
39,1,1,SVC_poly,Epinephrine,9AA,negative,3
40,0,3,SVC_poly,Folic acid,9AA,negative,3
41,1,4,SVC_poly,GM3 Ganglioside 18:0,9AA,negative,3
42,1,4,SVC_poly,GlcCer d18:1/18:0,9AA,negative,3
43,3,4,SVC_poly,Glucose 6-phosphate,9AA,negative,3
44,0,1,SVC_poly,Glycine,9AA,negative,3
45,3,1,SVC_poly,Lyso PE 18:0,9AA,negative,3
46,4,4,SVC_poly,Lyso PI 17:1,9AA,negative,3
47,3,1,SVC_poly,Lyso PS 17:1,9AA,negative,3
48,2,4,SVC_poly,Mevalonic acid,9AA,negative,3
49,4,4,SVC_poly,N-Acetylaspartic acid,9AA,negative,3
50,2,4,SVC_poly,N-Acetylaspartylglutamic acid,9AA,negative,3
51,0,4,KNeighbors,Carnitine,9AA,negative,3
52,0,0,KNeighbors,Cholesteryl acetate,9AA,negative,3
53,1,4,KNeighbors,Cytidine,9AA,negative,3
54,1,4,KNeighbors,Cytosine,9AA,negative,3
55,1,1,KNeighbors,Dopamine,9AA,negative,3
56,1,1,KNeighbors,Epinephrine,9AA,negative,3
57,0,1,KNeighbors,Folic acid,9AA,negative,3
58,1,4,KNeighbors,GM3 Ganglioside 18:0,9AA,negative,3
59,1,4,KNeighbors,GlcCer d18:1/18:0,9AA,negative,3
60,3,4,KNeighbors,Glucose 6-phosphate,9AA,negative,3
61,0,1,KNeighbors,Glycine,9AA,negative,3
62,3,1,KNeighbors,Lyso PE 18:0,9AA,negative,3
63,4,1,KNeighbors,Lyso PI 17:1,9AA,negative,3
64,3,0,KNeighbors,Lyso PS 17:1,9AA,negative,3
65,2,2,KNeighbors,Mevalonic acid,9AA,negative,3
66,4,0,KNeighbors,N-Acetylaspartic acid,9AA,negative,3
67,2,0,KNeighbors,N-Acetylaspartylglutamic acid,9AA,negative,3
68,0,3,DecisionTree,Carnitine,9AA,negative,3
69,0,0,DecisionTree,Cholesteryl acetate,9AA,negative,3
70,1,0,DecisionTree,Cytidine,9AA,negative,3
71,1,0,DecisionTree,Cytosine,9AA,negative,3
72,1,1,DecisionTree,Dopamine,9AA,negative,3
73,1,1,DecisionTree,Epinephrine,9AA,negative,3
74,0,1,DecisionTree,Folic acid,9AA,negative,3
75,1,3,DecisionTree,GM3 Ganglioside 18:0,9AA,negative,3
76,1,4,DecisionTree,GlcCer d18:1/18:0,9AA,negative,3
77,3,3,DecisionTree,Glucose 6-phosphate,9AA,negative,3
78,0,1,DecisionTree,Glycine,9AA,negative,3
79,3,1,DecisionTree,Lyso PE 18:0,9AA,negative,3
80,4,0,DecisionTree,Lyso PI 17:1,9AA,negative,3
81,3,3,DecisionTree,Lyso PS 17:1,9AA,negative,3
